"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",2,4,5,2,4,4,4,3,3,3,3,3,1,3,3,3,4,2,4,3,2,4,4,4,4,4,4,4,5,5
"2",5,3,3,5,1,5,2,1,3,1,2,1,1,1,1,5,5,5,5,5,5,4,5,2,2,5,2,5,3,3
"3",6,5,4,6,5,5,5,5,4,5,5,5,5,1,5,5,6,6,5,4,6,3,5,5,5,5,5,2,4,4
"4",2,1,1,2,3,6,2,4,1,4,3,4,4,4,4,4,2,2,3,2,2,5,3,2,2,3,2,2,1,1
"5",2,1,1,2,3,1,6,4,4,4,2,4,4,4,4,4,2,2,3,1,2,2,2,6,6,5,6,2,1,1
"6",6,1,1,6,4,1,3,4,6,4,5,4,6,4,4,4,6,6,4,6,6,6,5,3,6,5,3,2,6,6
"7",4,1,2,1,1,1,1,3,2,3,1,3,3,3,3,3,1,4,1,2,4,1,1,1,4,1,1,1,2,2
"8",7,8,8,7,4,7,6,6,7,2,4,2,2,2,2,2,5,7,4,7,7,3,4,6,6,4,6,1,8,8
"9",4,5,5,4,3,5,6,3,3,3,3,3,3,3,3,3,1,4,3,5,4,2,3,6,6,3,6,7,5,4
"10",4,3,3,4,1,3,2,1,4,1,5,1,1,1,1,1,4,4,1,3,4,4,5,2,2,5,2,4,3,3
"11",6,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,3,6,4,5,6,2,4,4,3,4,4,1,5,5
"12",5,3,2,5,4,2,3,4,3,3,3,3,3,3,3,3,1,5,4,2,5,3,3,3,5,3,3,3,2,2
"13",5,4,4,5,6,4,6,6,4,1,5,5,5,5,5,5,3,5,6,4,5,2,5,6,6,4,6,5,4,4
"14",7,4,4,7,1,4,7,6,7,6,7,6,6,6,6,6,3,7,1,7,7,7,7,7,7,5,7,2,4,4
"15",3,1,2,3,1,1,4,1,2,1,1,1,1,1,1,1,3,3,1,2,3,1,1,4,4,1,4,3,2,2
"16",5,1,1,5,3,1,4,4,1,4,3,4,4,2,4,4,5,5,3,1,5,5,3,4,4,3,4,5,1,1
"17",2,4,4,2,3,2,3,3,1,5,1,1,1,1,1,1,2,2,3,2,2,2,1,3,3,1,3,2,4,4
"18",4,3,3,4,5,3,1,2,2,2,5,2,4,2,2,2,4,4,5,2,4,4,5,1,1,5,1,4,3,3
"19",5,3,3,5,2,3,4,4,4,4,4,4,5,4,4,4,5,5,2,5,5,1,5,4,4,5,4,5,3,2
"20",3,2,2,3,5,2,3,5,4,5,4,5,5,5,5,3,1,3,5,2,3,3,4,3,3,4,3,3,2,2
"21",2,6,6,2,3,6,4,4,6,5,3,5,5,2,5,5,1,2,3,6,2,2,3,4,4,3,4,2,6,6
"22",3,6,6,3,2,6,2,2,1,5,5,5,5,4,5,5,3,3,2,5,3,3,5,2,1,5,2,3,6,6
"23",3,2,2,3,1,2,3,1,3,1,5,1,1,1,1,1,3,3,1,2,3,4,5,3,3,5,3,3,2,3
"24",4,1,1,4,5,1,4,3,3,3,3,3,4,3,3,3,2,4,5,3,4,4,5,4,3,5,4,4,1,1
"25",1,2,2,1,7,2,7,7,7,6,7,7,7,7,7,7,5,1,7,2,1,3,7,7,1,7,7,4,2,2
"26",1,2,2,1,4,1,3,6,6,6,4,6,6,6,6,6,5,1,4,1,1,1,4,3,3,4,3,1,2,2
"27",1,2,2,1,5,2,4,3,3,3,5,3,3,3,3,3,1,1,5,2,1,1,5,4,4,5,4,1,2,2
"28",2,1,1,2,4,1,3,4,4,4,4,4,2,4,4,4,2,2,5,4,2,2,4,3,3,4,3,2,1,2
"29",1,4,4,1,2,4,2,2,4,2,2,2,2,2,2,2,3,1,2,4,1,2,2,2,1,4,2,2,4,4
"30",3,4,4,3,5,4,2,2,4,4,3,4,3,4,4,4,3,3,5,4,3,3,3,2,2,1,2,3,4,3
"31",4,5,5,4,3,2,4,3,5,3,3,3,4,3,3,3,6,4,3,3,4,4,3,4,1,3,4,4,5,5
"32",2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,4,1,1,1,1,1,3,2,2
"33",4,4,1,4,5,1,3,5,1,1,6,1,4,1,1,1,2,4,5,1,4,4,6,3,3,6,3,4,1,4
"34",7,8,4,7,2,7,6,1,4,1,2,1,1,1,1,1,7,7,2,7,7,5,2,6,4,2,6,3,4,7
"35",4,3,3,4,1,3,4,1,3,1,1,1,1,1,1,1,5,4,1,3,4,2,1,4,4,3,4,4,3,3
"36",6,3,3,6,2,3,2,2,5,1,5,5,5,5,5,5,4,6,2,6,6,6,5,2,2,5,2,6,3,6
"37",4,7,7,4,6,7,6,6,6,2,6,6,6,6,6,6,3,4,6,7,4,1,6,6,4,6,6,5,7,7
"38",2,3,3,2,5,3,2,5,4,5,1,5,5,5,5,5,6,2,5,3,2,2,1,2,4,1,2,2,3,3
"39",1,2,2,1,3,2,3,3,2,3,3,3,3,3,3,3,4,1,3,2,1,3,3,3,1,2,3,3,2,2
