"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",4,3,1,4,2,4,2,5,4,4,2,6,2,4,4,1,4,4,2,4,2,4,6,3,2
"2",3,3,2,3,4,3,2,1,3,3,2,1,4,3,3,2,1,3,2,1,4,3,1,4,4
"3",3,3,2,3,2,3,2,4,3,3,2,1,2,1,3,1,4,3,2,3,2,1,1,2,2
"4",2,1,6,2,1,2,5,3,2,2,6,4,5,2,2,6,2,2,6,2,5,2,5,1,5
"5",2,2,3,2,3,2,5,1,2,2,4,1,4,2,2,3,1,2,3,2,4,1,1,1,4
"6",2,2,3,2,4,2,3,4,2,2,3,1,4,2,2,1,2,2,3,2,4,1,4,4,4
"7",4,4,1,4,1,4,2,2,4,4,1,3,2,4,4,3,4,4,1,4,2,4,3,2,2
"8",2,2,1,2,4,2,3,4,2,2,4,3,4,2,2,1,2,2,1,2,4,2,3,4,4
"9",3,3,4,3,2,3,4,2,3,3,4,1,2,1,3,4,3,1,4,3,2,1,2,2,2
"10",3,4,2,3,4,3,2,1,3,3,2,1,1,3,3,2,3,3,2,3,1,3,1,1,1
"11",1,2,5,1,2,1,3,4,1,1,3,1,3,1,1,5,1,1,3,1,3,1,4,2,3
"12",1,1,3,1,2,1,3,4,1,1,3,2,4,1,1,3,1,1,3,1,4,1,2,2,4
"13",3,4,1,3,2,3,4,2,3,3,4,2,4,3,3,1,3,3,1,3,4,3,2,2,4
"14",1,2,3,1,2,1,4,4,1,1,3,4,4,1,1,3,1,1,4,1,4,1,4,4,4
"15",3,2,4,3,5,3,4,1,3,3,5,3,5,3,3,4,3,3,5,3,5,3,1,5,5
"16",3,3,2,3,2,3,5,1,3,3,4,1,4,3,3,2,3,3,2,3,4,3,1,1,4
"17",4,4,2,4,3,4,2,1,4,4,2,1,1,4,4,2,4,4,2,4,1,4,1,1,1
"18",1,1,2,1,3,1,4,4,1,1,3,4,3,1,1,2,1,1,3,1,4,1,4,4,4
"19",2,3,4,2,3,2,4,1,2,2,4,1,3,2,2,4,1,2,4,1,3,2,1,3,3
"20",2,2,1,2,4,2,1,3,2,2,4,3,4,2,2,1,2,2,4,2,4,2,3,3,4
"21",4,4,1,4,2,4,1,3,4,4,2,5,2,4,4,1,4,4,2,4,2,4,1,2,2
"22",2,2,3,2,4,2,3,1,2,2,4,5,4,2,2,3,1,2,4,2,4,5,5,4,4
"23",3,1,2,3,4,3,2,5,3,3,4,5,4,3,3,2,3,3,4,3,4,3,5,4,4
"24",1,1,2,1,4,1,2,3,1,1,4,3,3,1,1,2,1,1,2,1,3,1,3,4,3
"25",1,1,3,1,2,1,3,3,1,1,2,4,2,1,1,3,4,1,2,1,2,4,4,2,2
"26",4,4,5,4,2,4,5,3,4,4,5,1,5,4,4,1,1,4,5,4,5,1,1,5,5
"27",3,2,1,3,2,3,2,4,3,3,1,3,2,3,3,1,3,3,2,3,2,3,3,2,2
"28",2,1,3,2,1,2,3,4,2,2,3,5,4,2,2,3,2,2,3,2,4,2,4,5,4
"29",4,4,3,4,1,4,3,2,4,4,3,2,2,4,4,3,4,4,3,4,2,4,2,2,2
"30",2,2,1,2,3,2,3,4,2,2,3,4,3,2,2,1,4,1,3,2,3,2,4,3,3
"31",1,2,3,1,2,1,3,4,1,1,3,4,3,1,1,5,1,1,3,1,3,1,4,2,3
"32",3,3,5,3,4,3,5,2,3,3,5,2,5,1,3,2,2,3,5,3,5,2,2,2,5
"33",1,1,5,1,3,1,2,4,1,1,2,3,2,1,1,5,1,1,2,1,2,1,3,3,2
"34",3,3,1,3,4,3,4,2,3,3,4,5,4,5,3,1,2,5,4,3,5,5,4,4,4
"35",2,2,4,2,3,2,1,3,2,2,1,3,1,2,2,4,2,2,1,2,1,2,3,3,1
"36",2,1,4,2,1,2,4,4,2,2,4,3,3,2,2,4,2,2,4,2,4,2,3,3,3
"37",1,1,3,1,2,1,3,2,1,1,3,4,3,4,1,4,1,1,3,1,3,4,4,2,3
"38",3,3,1,3,4,3,1,2,3,3,4,2,4,3,3,1,2,3,4,3,4,2,2,2,4
"39",3,5,4,3,5,3,4,5,3,3,4,2,5,3,3,1,3,3,4,3,5,3,2,5,5
"40",5,5,2,5,2,5,4,4,5,5,2,5,4,3,5,1,5,5,2,5,2,5,4,4,4
"41",2,2,1,2,3,2,4,5,2,2,4,5,4,6,2,1,5,2,4,2,4,5,5,5,4
"42",1,1,2,1,3,1,2,3,1,1,2,4,2,1,1,5,1,1,2,1,2,1,4,3,2
"43",2,2,5,2,4,2,5,1,2,2,5,3,5,2,2,3,1,2,5,2,5,3,3,5,5
"44",4,4,3,3,1,4,3,2,3,3,1,2,1,4,3,2,2,3,3,3,1,2,2,1,1
"45",4,3,1,4,3,4,1,2,4,4,1,4,3,4,4,1,4,4,1,4,3,4,4,3,3
"46",5,5,1,5,3,5,2,4,5,5,2,4,2,5,5,1,4,5,2,5,2,5,4,3,2
"47",4,4,3,4,5,4,1,2,4,4,1,2,1,4,4,3,2,4,1,4,1,2,2,2,1
"48",4,2,3,4,2,4,3,1,4,4,2,1,1,4,4,3,4,4,2,4,1,4,1,1,1
"49",2,2,3,2,4,2,3,5,2,2,3,5,3,1,2,5,5,2,3,2,3,5,5,5,3
"50",4,4,1,4,3,4,1,2,4,4,1,2,2,4,4,1,4,4,1,4,2,4,2,2,2
"51",4,1,3,4,1,4,3,2,4,4,3,4,1,4,4,3,4,4,3,4,1,4,4,1,1
"52",2,1,1,1,1,3,4,4,1,1,1,2,4,2,2,2,2,2,1,1,4,2,4,4,4
"53",3,3,5,3,4,3,5,2,3,3,5,1,2,3,3,5,3,3,5,3,2,1,1,2,2
"54",3,3,1,3,2,3,1,1,3,3,2,4,2,3,3,1,4,3,2,3,2,4,4,4,2
"55",1,2,4,1,3,1,4,5,1,1,4,5,3,1,1,4,1,1,4,1,3,1,5,3,3
"56",4,4,3,4,1,4,5,5,4,4,5,2,5,4,4,3,4,4,5,4,5,4,2,5,5
"57",1,1,4,1,2,1,2,3,1,1,2,2,2,1,1,4,1,1,2,1,2,1,2,2,2
"58",2,2,4,2,3,2,4,1,2,2,5,1,5,2,2,4,1,2,4,2,5,1,1,1,5
"59",4,2,3,4,2,4,3,1,4,4,3,4,3,4,4,3,4,4,3,4,3,4,4,1,3
"60",5,5,4,5,3,5,4,2,5,5,4,1,2,5,5,4,5,5,4,5,2,1,1,2,2
"61",4,4,2,4,3,4,3,5,4,4,3,1,3,4,4,2,1,4,3,4,3,1,1,3,3
"62",1,1,2,1,3,1,3,5,1,1,3,4,3,1,1,2,4,1,3,1,3,4,4,3,3
