"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,2,3,2,1,3,5,6,5,1,4
"2",4,1,3,1,4,3,5,6,5,4,2
"3",4,2,3,2,4,3,5,6,5,4,1
"4",1,3,2,3,2,2,5,6,5,2,4
"5",3,2,1,2,1,1,5,6,5,1,4
"6",3,2,4,4,3,1,6,7,6,1,5
"7",2,4,1,4,2,1,5,6,5,2,3
"8",2,3,4,3,2,4,5,6,5,2,1
"9",3,1,2,1,2,2,5,6,5,2,4
"10",2,4,3,4,2,3,5,6,5,2,1
"11",3,4,2,4,3,2,5,6,5,3,1
"12",3,4,2,4,3,2,5,6,5,3,1
"13",4,3,1,3,4,1,5,6,5,4,2
"14",3,1,4,1,3,4,5,6,5,3,2
"15",3,4,1,4,1,1,5,6,5,1,2
"16",1,3,4,3,4,4,5,6,5,1,2
"17",4,2,3,3,4,1,6,7,6,4,5
"18",1,3,2,3,1,2,5,6,5,1,4
"19",1,3,2,3,1,2,5,6,5,1,4
"20",4,3,1,3,4,1,5,6,5,4,2
"21",1,4,2,4,1,2,5,6,5,1,3
"22",4,1,2,1,4,2,5,6,5,4,3
"23",4,3,2,3,4,2,5,6,5,4,1
"24",3,1,4,1,4,4,5,6,5,4,2
"25",2,3,1,3,2,1,5,6,5,2,4
"26",5,1,3,3,5,2,6,7,6,5,4
"27",3,2,4,2,3,4,5,6,5,3,1
"28",2,1,3,1,2,3,5,6,5,2,4
"29",2,3,4,3,2,4,5,6,5,2,1
"30",5,3,2,2,5,1,6,7,6,5,4
"31",3,1,2,1,2,2,5,6,5,2,4
"32",3,1,4,1,3,4,5,6,5,3,2
"33",4,1,2,1,4,2,5,6,5,4,3
"34",3,4,2,4,3,2,5,6,5,3,1
"35",2,3,4,3,2,4,5,6,5,2,1
"36",1,2,3,2,3,3,5,6,5,3,4
"37",5,3,1,1,5,2,6,7,6,5,4
"38",2,3,4,3,2,4,5,6,5,2,1
"39",2,4,1,4,2,1,5,6,5,2,3
"40",3,4,1,4,3,1,5,6,5,3,2
"41",2,3,1,3,2,1,5,6,5,2,4
"42",3,2,4,2,3,4,5,6,5,3,1
"43",1,3,4,3,1,4,5,6,5,1,2
"44",3,1,4,1,3,4,5,6,5,3,2
"45",3,2,1,2,3,1,5,6,5,3,4
"46",3,4,1,4,3,1,5,6,5,3,2
"47",2,4,3,4,2,3,5,6,5,2,1
"48",4,3,2,2,4,1,6,7,6,4,5
"49",4,1,3,1,4,3,5,6,5,4,2
"50",1,2,4,2,1,4,5,6,5,1,3
"51",4,1,2,1,4,2,5,6,5,4,3
"52",4,2,3,2,4,3,5,6,5,4,1
"53",3,4,1,4,3,1,5,6,5,3,2
"54",2,4,3,4,2,3,5,6,5,2,1
"55",4,2,1,2,4,1,5,6,5,4,3
"56",3,1,4,1,4,4,5,6,5,4,2
"57",3,4,2,4,2,2,5,6,5,2,1
"58",1,2,4,2,1,4,5,6,5,1,3
"59",3,4,2,4,2,2,5,6,5,2,1
"60",1,2,4,2,1,4,5,6,5,1,3
"61",3,5,1,4,3,1,6,7,6,4,2
"62",1,3,2,3,2,2,5,6,5,2,4
"63",3,4,2,4,3,2,5,6,5,3,1
"64",1,4,2,4,1,2,5,6,5,1,3
"65",4,5,3,3,4,2,6,7,6,2,1
"66",3,2,4,2,3,4,5,6,5,3,1
"67",2,3,4,3,2,4,5,6,5,2,1
"68",4,2,3,2,4,3,5,6,5,4,1
"69",2,4,3,4,3,3,5,6,5,3,1
"70",1,4,2,4,1,2,5,6,5,1,3
"71",3,1,2,1,3,2,5,6,5,3,4
"72",3,4,2,4,3,2,5,6,5,3,1
"73",2,4,3,4,2,3,5,6,5,2,1
"74",4,5,2,2,4,3,6,7,6,4,1
"75",3,4,2,4,3,2,5,6,5,3,1
"76",1,3,2,3,1,2,5,6,5,1,4
"77",3,4,2,4,2,2,5,6,5,2,1
"78",3,1,4,1,4,4,5,6,5,4,2
"79",2,3,4,3,4,4,5,6,5,4,1
"80",4,2,3,2,4,3,5,6,5,4,1
"81",4,3,2,3,4,2,5,6,5,4,1
"82",3,1,4,1,4,4,5,6,5,4,2
"83",2,3,1,3,1,1,5,6,5,1,4
"84",1,2,4,4,1,3,6,7,6,1,5
"85",3,1,4,2,3,4,6,7,6,2,5
"86",1,3,4,3,1,4,5,6,5,1,2
"87",2,3,4,3,4,4,5,6,5,4,1
"88",2,4,1,4,2,1,5,6,5,2,3
"89",2,3,4,3,2,4,5,6,5,2,1
"90",4,2,3,2,4,3,5,6,5,4,1
"91",3,1,4,1,4,4,5,6,5,4,2
"92",1,3,2,3,2,2,5,6,5,2,4
"93",1,4,2,4,1,2,5,6,5,1,3
"94",2,3,1,3,2,1,5,6,5,2,4
"95",3,1,2,1,3,2,5,6,5,3,4
"96",3,1,2,1,2,2,5,6,5,2,4
"97",4,1,3,1,4,3,5,6,5,4,2
"98",3,1,2,1,2,2,5,6,5,3,4
"99",1,3,2,3,2,2,5,6,5,1,4
"100",4,2,3,2,3,3,5,6,5,3,1
