"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",4,1,3,4,4,1,2,2,4,3,3,3,3
"2",4,3,2,4,4,3,5,1,4,2,2,2,2
"3",4,2,5,2,4,1,1,3,4,3,5,5,3
"4",5,2,3,5,5,2,1,4,5,3,3,3,3
"5",5,2,6,2,4,1,4,3,5,6,6,6,6
"6",2,4,3,4,2,5,5,1,2,3,3,3,3
"7",2,5,1,2,2,5,3,4,2,1,1,1,1
"8",2,5,1,5,2,4,3,3,5,1,1,1,1
"9",3,2,5,2,3,1,4,4,3,5,5,5,5
"10",5,2,1,3,5,3,4,4,5,1,1,1,1
"11",1,5,4,5,2,5,2,3,1,4,4,4,4
"12",4,5,1,5,3,3,3,2,4,1,1,1,1
"13",1,4,2,4,1,5,5,3,1,2,2,2,2
"14",1,1,4,1,1,2,2,3,1,4,4,4,4
"15",2,1,4,3,2,3,1,5,2,4,4,4,4
"16",3,5,1,5,2,6,2,4,3,1,1,1,1
"17",5,3,2,3,5,4,4,1,5,2,2,2,2
"18",1,2,5,2,3,3,3,4,1,5,5,5,5
"19",5,4,1,4,5,2,3,3,5,1,1,1,1
"20",3,4,1,3,3,2,2,5,3,1,1,1,1
"21",1,4,5,4,2,3,2,6,1,5,5,5,5
"22",1,3,5,3,1,2,2,4,1,5,5,5,5
"23",3,5,4,5,3,5,2,1,3,4,4,4,4
"24",5,4,2,4,5,3,3,1,5,2,2,2,2
"25",1,5,1,5,3,5,3,4,2,1,1,1,1
"26",1,2,3,1,1,4,4,5,1,3,2,2,3
"27",2,2,3,2,5,4,5,1,2,3,3,3,3
"28",4,2,1,2,3,3,3,5,4,1,1,1,1
"29",1,4,2,4,1,3,3,5,1,2,2,2,2
"30",1,3,2,3,1,4,4,5,1,2,2,2,2
"31",4,3,5,2,4,3,2,1,4,5,5,5,5
"32",2,3,4,2,2,1,3,5,2,4,4,4,4
"33",4,4,3,4,2,2,2,1,4,3,3,3,3
"34",2,4,5,2,2,3,1,1,2,5,5,5,5
"35",1,4,3,5,1,5,5,2,1,3,3,3,3
"36",5,3,5,2,4,1,4,6,3,5,5,5,5
"37",3,5,2,5,3,4,4,1,3,2,2,2,2
"38",4,1,2,1,4,1,3,3,4,2,2,2,2
"39",3,1,5,1,3,1,2,4,3,5,5,5,5
"40",2,4,5,4,2,4,3,1,2,1,5,5,5
"41",2,1,3,1,2,5,4,4,2,3,3,3,3
"42",3,2,5,2,3,1,1,4,3,5,5,5,5
"43",3,4,2,3,3,5,5,1,3,2,2,2,2
"44",4,1,3,2,2,2,2,5,4,3,3,3,3
"45",1,3,5,1,1,2,2,4,1,5,5,5,5
"46",5,2,4,5,5,3,3,1,5,4,4,4,4
"47",3,3,5,3,4,2,4,1,3,5,5,5,5
"48",2,1,5,2,2,3,3,4,2,5,5,5,5
"49",4,4,3,4,1,1,1,2,4,3,3,3,3
"50",3,2,4,3,3,2,1,5,3,4,4,4,4
"51",1,3,5,1,2,3,2,4,1,5,5,5,5
"52",5,4,2,5,5,4,1,3,5,2,2,2,2
"53",5,4,2,4,5,3,3,1,5,2,2,2,2
"54",3,1,2,1,3,1,4,4,3,2,2,2,2
"55",2,3,1,3,2,5,4,4,2,1,1,1,1
"56",4,1,5,4,4,3,3,2,4,5,5,5,5
"57",3,2,5,2,4,1,4,6,3,5,5,5,5
"58",5,3,2,3,5,4,4,1,5,2,2,2,2
"59",4,5,2,4,4,5,1,3,4,2,2,2,2
"60",5,3,1,5,5,4,4,2,5,1,1,1,1
"61",2,5,3,5,4,4,4,1,2,3,3,3,3
"62",5,4,1,4,5,3,3,2,5,1,1,1,1
"63",3,4,5,3,2,4,2,1,3,5,5,5,5
"64",3,2,5,2,3,1,1,4,3,5,5,5,5
"65",5,2,3,5,5,4,4,1,5,3,2,2,3
"66",3,4,1,3,3,4,5,2,3,1,1,1,1
"67",1,3,4,2,1,3,2,5,1,4,4,4,4
"68",1,4,3,1,1,2,2,5,1,3,3,3,3
"69",4,2,1,2,4,3,3,5,4,1,1,1,1
"70",2,3,1,3,2,4,4,5,2,1,1,1,1
"71",1,4,2,4,1,5,5,3,1,2,2,2,2
"72",1,3,2,3,1,4,4,5,1,2,2,2,2
"73",4,1,2,1,4,1,3,5,4,2,2,2,2
"74",4,5,4,3,3,2,2,1,5,4,4,4,4
"75",2,3,2,4,4,1,4,5,3,2,2,2,2
"76",3,4,1,4,3,4,2,2,3,1,1,1,1
"77",1,5,1,5,3,2,2,4,5,1,1,1,1
"78",5,2,3,2,5,1,1,4,5,3,3,3,3
"79",1,4,1,2,2,3,2,5,4,1,1,1,1
"80",1,5,3,5,1,4,4,2,1,3,3,3,3
"81",3,4,3,1,1,2,1,5,4,3,3,3,3
"82",2,3,4,5,5,3,5,1,2,4,4,4,4
"83",5,1,3,5,5,4,4,2,5,3,3,3,3
"84",5,3,1,4,5,4,4,2,5,1,1,1,1
"85",1,4,2,4,1,5,5,3,1,2,2,2,2
"86",1,3,6,3,5,4,5,2,1,6,6,6,6
"87",4,4,3,4,2,2,2,1,4,3,3,3,3
"88",4,5,1,4,4,2,2,3,4,1,1,1,1
"89",1,5,4,1,1,2,2,3,1,4,4,4,4
"90",1,3,2,1,1,3,4,5,1,2,2,2,2
"91",4,5,2,5,3,6,3,1,4,2,2,2,2
"92",4,2,4,2,3,1,3,5,2,4,4,4,4
"93",2,4,3,4,2,5,5,1,2,3,3,3,3
"94",3,3,2,3,4,4,4,1,3,2,2,2,2
"95",4,1,2,4,4,3,3,5,1,2,2,2,2
"96",2,4,1,4,2,5,5,3,2,1,1,1,1
"97",3,1,4,1,3,1,2,2,3,4,4,4,4
"98",2,1,3,2,4,1,4,5,2,3,3,3,3
"99",4,1,5,2,4,2,2,3,4,5,5,5,5
"100",1,1,4,1,2,2,2,3,1,4,4,4,4
