"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,5,2,5,4,5,3,5,4,3,5,5,4,2
"2",1,3,4,3,2,3,2,1,4,3,3,3,2,4
"3",2,3,1,3,4,3,4,3,1,4,3,3,4,1
"4",5,4,1,2,3,2,3,4,2,3,2,2,3,1
"5",3,2,5,2,1,2,5,4,1,2,2,2,1,5
"6",2,1,4,1,3,1,4,1,3,1,1,1,3,4
"7",4,2,3,2,1,2,1,2,3,1,2,2,1,3
"8",4,5,2,5,1,5,3,5,1,3,5,5,1,2
"9",2,1,4,1,3,1,4,2,3,1,1,1,3,3
"10",3,2,1,2,5,2,1,4,5,2,2,2,5,1
"11",4,3,2,3,1,3,2,4,1,3,3,3,1,1
"12",4,1,3,1,3,1,3,4,2,1,1,1,2,3
"13",3,1,2,1,4,1,2,1,4,1,1,1,4,4
"14",4,2,1,2,3,2,1,2,3,2,2,2,3,3
"15",4,3,5,3,1,3,5,2,1,3,3,3,1,5
"16",4,2,1,2,3,2,1,2,3,2,2,2,3,3
"17",3,4,1,4,2,4,1,5,2,4,4,4,2,1
"18",4,2,1,2,3,2,3,4,1,2,2,2,3,1
"19",4,5,1,5,3,5,2,5,3,2,5,5,3,1
"20",4,3,1,3,5,3,2,3,5,2,3,3,5,1
"21",3,1,2,1,4,1,2,1,4,1,1,1,4,2
"22",4,3,2,3,1,3,1,3,2,1,3,3,1,2
"23",4,2,3,2,1,2,3,2,1,2,2,2,1,1
"24",5,4,3,4,2,4,3,1,2,4,4,4,2,3
"25",1,2,3,2,4,2,3,1,4,2,2,2,4,4
"26",2,3,1,3,4,3,1,3,4,3,3,3,4,4
"27",3,4,1,4,5,4,2,4,5,2,4,4,5,1
"28",1,2,3,2,4,2,3,2,4,2,2,2,4,3
"29",4,1,2,1,3,1,3,1,2,3,1,1,3,2
"30",4,1,3,1,5,1,3,2,5,1,1,1,5,3
"31",3,2,1,2,4,2,1,2,4,2,2,2,4,1
"32",2,1,3,1,4,1,3,1,4,1,1,1,4,3
"33",4,2,3,2,1,2,3,2,1,2,2,2,1,1
"34",1,3,2,3,4,3,2,3,4,3,3,3,4,4
"35",1,4,2,4,3,4,3,5,2,4,4,4,3,2
"36",4,2,5,1,3,2,1,2,3,1,3,2,3,5
"37",1,3,4,3,2,3,4,3,2,3,3,3,2,2
"38",2,3,4,3,1,3,5,3,1,5,3,3,1,4
"39",4,2,3,2,1,2,3,2,1,2,2,2,1,3
"40",3,1,2,1,2,1,2,3,4,1,1,1,4,2
"41",3,2,1,2,4,2,1,2,4,2,2,2,4,1
"42",2,3,4,3,1,3,4,3,1,3,3,3,1,4
"43",4,3,1,1,2,3,1,3,2,1,3,3,2,2
"44",4,1,2,1,3,1,2,4,3,1,1,1,3,2
"45",4,5,3,2,1,5,3,5,2,1,2,5,1,3
"46",2,3,4,3,1,3,1,3,4,1,3,3,1,4
"47",3,2,5,2,4,2,5,1,4,2,2,2,4,5
"48",4,3,1,5,2,5,2,3,5,2,5,5,2,1
"49",2,4,1,4,3,4,3,4,1,3,4,4,3,1
"50",4,2,1,2,5,2,1,3,5,2,2,2,5,5
"51",2,4,1,4,3,4,3,4,1,3,4,4,3,1
"52",1,3,4,3,2,3,4,3,2,3,3,3,2,4
"53",3,1,4,1,2,1,4,3,2,1,1,1,2,4
"54",1,2,5,2,4,2,3,2,4,3,2,2,4,5
"55",2,3,1,3,4,3,4,3,1,4,3,3,4,1
"56",5,4,2,1,3,4,1,4,3,1,3,4,3,2
"57",5,2,1,2,4,2,1,3,4,2,2,2,4,1
"58",1,2,4,2,3,2,4,2,3,2,2,2,3,4
"59",3,1,4,1,2,1,4,1,2,1,1,1,2,4
"60",3,1,2,1,4,1,2,1,4,1,1,1,4,2
"61",3,1,4,2,5,2,5,1,2,5,2,2,5,4
"62",4,2,1,2,3,2,1,2,3,2,2,2,3,1
"63",1,3,2,3,4,3,2,3,4,3,3,3,4,4
"64",2,1,4,1,3,1,4,2,3,1,1,1,3,3
"65",4,1,3,1,5,1,3,2,5,1,1,1,5,5
"66",4,2,1,2,5,2,1,3,5,2,2,2,5,1
"67",4,3,1,3,5,3,2,3,5,2,3,3,5,1
"68",2,3,4,3,1,3,4,3,1,3,3,3,1,1
"69",3,1,4,2,4,2,4,3,2,2,2,2,1,4
"70",4,3,2,3,1,3,2,3,1,3,3,3,1,1
"71",2,4,5,4,1,4,5,3,1,4,4,4,1,1
"72",1,2,4,2,3,2,4,2,3,2,2,2,3,4
