"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",1,2,2,4,4,3,3,3,3
"2",5,1,1,4,4,3,3,3,2
"3",4,3,2,3,5,4,5,6,1
"4",1,5,3,5,4,3,4,3,2
"5",2,3,4,3,5,5,5,5,1
"6",6,4,1,4,5,2,2,2,3
"7",1,3,2,3,4,4,4,4,5
"8",0,0,0,0,0,0,0,0,0
"9",5,3,1,3,4,2,2,2,2
"10",1,2,5,2,3,3,3,3,4
"11",3,1,5,1,4,5,5,5,2
"12",2,4,1,3,3,4,4,4,4
"13",2,3,2,2,1,2,2,2,2
"14",2,4,4,3,3,4,4,4,1
"15",1,2,1,2,3,1,1,1,4
"16",1,1,1,1,2,1,1,1,1
"17",1,5,5,4,4,2,6,2,3
"18",2,1,1,3,1,1,1,1,1
"19",1,1,1,1,2,1,1,1,1
"20",2,1,4,1,3,3,3,3,3
"21",2,3,3,1,1,3,3,3,3
"22",1,5,2,5,4,2,2,2,3
"23",0,0,0,0,0,0,0,0,0
"24",3,4,2,4,1,1,1,1,1
"25",0,0,0,0,0,0,0,0,0
"26",1,5,3,5,2,4,4,4,4
"27",4,3,3,2,2,1,1,1,1
"28",1,3,1,3,4,1,1,1,2
"29",2,6,3,6,5,1,5,1,4
"30",3,5,4,5,2,2,2,2,1
"31",2,4,4,1,1,4,4,4,3
"32",3,5,2,5,4,4,4,4,1
"33",2,3,3,4,4,1,1,1,5
"34",1,1,1,2,2,1,1,1,1
"35",2,1,2,1,2,2,2,2,2
"36",3,2,2,2,1,2,2,2,2
"37",4,2,1,2,6,5,5,5,3
"38",2,1,3,1,4,2,2,2,2
"39",1,2,4,5,5,2,2,2,3
"40",5,1,3,1,2,2,2,2,4
"41",1,3,3,2,3,3,3,3,3
"42",6,2,5,2,3,1,1,1,4
"43",1,4,5,4,2,6,6,6,3
"44",1,6,5,6,3,2,2,2,4
"45",2,1,6,1,4,3,3,3,5
"46",3,2,2,1,1,2,2,2,2
"47",2,3,1,3,1,1,1,1,1
"48",2,3,5,3,4,2,5,5,1
"49",3,1,1,2,1,1,1,1,1
"50",1,4,4,5,2,2,2,2,3
"51",4,1,6,1,3,5,5,5,2
"52",3,1,1,4,4,2,2,2,2
"53",1,2,2,3,3,2,4,2,2
"54",4,5,3,5,2,2,2,2,1
"55",3,1,2,1,2,2,2,2,2
"56",4,3,1,3,2,2,2,2,5
"57",1,5,3,4,4,5,5,5,2
"58",4,2,3,2,1,4,4,4,4
"59",3,5,2,5,4,3,3,3,1
"60",4,5,1,5,3,4,4,4,2
"61",1,3,3,2,2,5,5,5,4
"62",5,2,3,2,1,4,4,4,4
"63",1,4,4,3,3,4,2,4,4
"64",4,3,2,5,5,3,3,3,1
"65",5,3,3,2,2,1,1,1,4
"66",6,4,1,4,3,5,5,5,2
"67",4,2,1,2,3,4,4,4,4
"68",1,1,1,1,2,1,1,1,1
"69",1,1,1,2,1,1,1,1,1
"70",4,2,1,2,6,3,3,3,5
"71",1,1,1,2,1,1,1,1,1
"72",2,1,1,1,3,1,1,1,1
"73",6,3,1,3,5,2,2,2,4
"74",4,5,3,5,1,1,1,1,2
"75",3,5,1,5,4,2,2,2,2
"76",2,4,1,3,3,4,4,4,4
"77",2,3,3,1,5,5,5,5,4
"78",1,5,4,5,3,2,2,2,2
"79",1,6,3,6,4,2,2,2,5
"80",4,3,1,2,2,3,3,3,2
"81",1,5,4,5,2,3,3,3,3
"82",4,5,3,5,1,1,1,1,2
"83",3,2,1,4,4,2,2,2,2
"84",1,2,4,2,3,4,4,4,4
"85",2,1,1,1,1,1,1,1,1
"86",2,5,1,5,4,3,3,3,3
"87",3,1,1,1,2,1,1,1,1
"88",1,4,2,4,3,2,2,2,2
"89",4,5,1,5,2,2,2,2,3
"90",1,2,2,3,3,2,2,2,2
"91",1,5,4,5,3,3,3,3,2
"92",6,2,5,2,3,6,1,1,4
"93",3,4,1,4,5,2,2,2,2
"94",1,3,4,3,6,5,6,5,2
"95",2,4,1,4,3,5,5,5,6
"96",4,2,1,2,3,1,1,1,5
"97",2,5,3,5,4,4,4,4,1
"98",4,3,2,3,1,1,1,1,1
"99",2,4,3,4,5,5,5,5,1
"100",1,5,3,5,4,2,2,2,2
