"","V1","V2","V3","V4","V5","V6","V7"
"1",1,4,3,3,2,1,5
"2",5,1,3,3,2,5,4
"3",2,4,6,6,1,3,5
"4",3,2,1,1,5,3,4
"5",2,1,4,4,3,2,5
"6",4,6,2,2,3,5,1
"7",3,5,6,6,2,4,1
"8",5,3,4,4,2,5,1
"9",1,5,4,4,6,2,3
"10",3,1,5,5,4,3,2
"11",2,5,1,1,3,2,4
"12",3,1,4,4,2,3,5
"13",1,3,5,5,4,1,2
"14",6,4,2,2,3,5,1
"15",2,1,3,3,4,2,5
"16",5,4,2,2,3,5,1
"17",5,1,2,2,4,6,3
"18",5,6,2,2,1,4,3
"19",2,1,3,3,5,2,4
"20",1,5,6,6,4,2,3
"21",5,4,3,3,1,6,2
"22",3,1,6,6,5,4,2
"23",5,2,6,6,3,4,1
"24",5,3,2,2,4,5,1
"25",2,4,6,6,5,3,1
"26",5,4,1,1,3,5,2
"27",4,1,3,3,5,4,2
"28",2,4,5,5,1,2,3
"29",1,4,6,6,3,2,5
"30",3,5,2,2,1,3,4
"31",1,3,5,5,6,4,2
"32",3,6,4,4,5,2,1
"33",2,5,1,1,4,2,3
"34",4,1,6,6,2,5,3
"35",3,6,1,1,4,2,5
"36",3,2,4,4,1,3,5
"37",1,5,3,3,6,2,4
"38",2,5,4,4,3,1,6
"39",2,4,3,3,1,2,5
"40",2,1,4,4,6,3,5
"41",5,2,3,3,4,6,1
"42",3,1,5,5,4,2,6
"43",2,3,4,4,5,1,6
"44",1,5,2,2,4,1,3
"45",1,6,5,5,3,2,4
"46",1,5,2,2,3,1,4
"47",5,1,4,4,2,5,3
"48",2,4,6,6,5,1,3
"49",2,4,5,5,3,1,6
"50",3,4,1,1,6,2,5
"51",4,1,2,2,5,3,6
"52",3,5,2,2,1,3,4
"53",5,2,1,1,4,6,3
"54",5,1,3,3,4,6,2
"55",4,1,5,5,6,3,2
"56",5,1,4,4,2,5,3
"57",3,2,4,4,5,3,1
"58",2,6,1,1,4,3,5
"59",4,2,3,3,5,4,1
"60",5,3,4,4,1,5,2
"61",3,6,2,2,5,4,1
"62",4,1,3,3,2,4,5
"63",5,4,2,2,3,5,1
"64",4,2,3,3,1,4,5
"65",2,5,6,6,1,3,4
"66",4,2,6,6,1,5,3
"67",3,4,5,5,6,2,1
"68",3,4,6,6,1,2,5
"69",4,5,1,1,3,4,2
"70",3,2,4,4,5,3,1
"71",3,1,5,5,4,3,2
"72",1,5,4,4,3,2,6
"73",5,1,4,4,2,5,3
"74",4,6,1,1,2,5,3
"75",3,4,1,1,6,2,5
"76",5,6,2,2,1,4,3
"77",4,2,3,3,5,4,1
"78",3,4,6,6,5,2,1
"79",3,5,4,4,2,3,1
"80",5,3,1,1,2,5,4
"81",3,5,1,1,4,3,2
"82",3,1,2,2,6,4,5
"83",6,2,1,1,3,5,4
"84",3,5,6,6,1,2,4
"85",5,2,6,6,1,4,3
"86",5,2,4,4,1,5,3
"87",2,3,5,5,4,2,1
"88",1,5,3,3,2,1,4
"89",2,4,3,3,1,2,5
"90",1,3,5,5,4,2,6
"91",4,2,1,1,3,5,6
"92",4,1,5,5,3,4,2
"93",2,1,5,5,6,3,4
"94",5,6,1,1,2,4,3
"95",3,1,5,5,6,4,2
"96",1,2,3,3,5,1,4
"97",2,6,4,4,1,3,5
"98",3,4,2,2,1,3,5
"99",4,3,2,2,5,6,1
"100",1,5,2,2,3,1,4
