"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,5,5,1,3,5,3,4,4,3,2,2,2
"2",1,2,4,3,1,4,1,4,2,1,2,3,3
"3",2,2,3,5,2,1,2,3,4,4,1,5,5
"4",3,2,3,5,5,4,2,4,2,2,5,1,4
"5",4,5,3,1,4,3,4,3,1,1,5,2,1
"6",1,3,3,4,4,3,1,3,2,4,4,2,2
"7",2,1,1,3,3,1,3,5,5,3,3,4,5
"8",1,3,3,2,1,4,1,3,3,1,4,2,2
"9",1,3,3,4,1,3,1,2,2,1,5,5,5
"10",2,3,3,4,2,1,2,3,3,2,1,4,4
"11",2,6,6,1,6,4,6,3,3,1,4,5,1
"12",4,2,3,1,4,3,4,3,2,4,2,1,1
"13",6,6,4,5,6,3,6,3,3,2,2,1,3
"14",1,5,5,2,1,5,1,4,4,1,3,3,3
"15",1,5,5,3,1,5,1,4,2,2,2,4,4
"16",3,3,2,5,5,2,5,2,4,4,5,1,1
"17",3,5,4,2,3,4,5,4,5,5,1,1,1
"18",2,5,5,1,2,4,2,3,3,2,4,4,4
"19",3,1,1,2,2,1,2,1,4,2,2,4,4
"20",1,4,4,2,1,3,1,5,5,1,3,3,3
"21",1,1,3,4,4,3,1,3,1,4,4,2,2
"22",3,1,1,2,3,5,3,4,4,3,5,5,5
"23",4,1,1,3,4,1,4,1,2,2,2,3,3
"24",5,1,1,2,5,1,5,3,3,5,4,4,4
"25",4,4,5,1,3,4,3,5,4,1,1,2,1
"26",1,3,4,3,3,4,1,4,1,3,3,2,2
"27",1,2,2,5,1,3,1,4,4,1,3,3,3
"28",2,1,1,4,2,1,2,3,1,2,5,3,3
"29",4,2,2,1,4,2,4,2,2,4,3,1,1
"30",3,4,4,2,3,4,3,1,4,3,1,2,2
"31",1,3,3,2,3,5,3,4,4,1,5,2,2
"32",6,5,5,4,5,2,6,3,3,1,1,2,2
"33",3,4,4,1,1,4,1,5,4,1,2,5,5
"34",4,5,5,1,4,5,4,3,3,4,2,2,2
"35",3,2,2,4,3,5,3,5,5,3,5,1,5
"36",1,2,2,3,1,2,1,4,4,1,2,3,3
"37",1,5,5,2,1,5,1,6,6,6,4,3,6
"38",2,1,1,3,2,1,2,1,4,4,4,3,3
"39",6,6,5,1,5,3,6,3,4,4,4,2,3
"40",4,5,3,5,5,3,4,1,1,5,5,2,1
"41",1,5,1,5,5,2,5,2,4,4,4,3,3
"42",2,5,2,4,5,1,5,1,5,5,4,3,1
"43",3,2,2,1,3,2,3,2,4,4,4,1,1
"44",2,4,4,3,2,4,2,5,5,2,1,1,1
"45",3,2,1,5,1,2,3,2,4,4,4,5,5
"46",3,3,2,1,3,2,3,2,4,4,4,1,1
"47",5,4,4,3,3,4,5,4,1,1,1,2,2
"48",2,2,1,3,2,1,2,1,4,4,4,3,3
"49",3,3,3,4,3,1,3,2,2,2,1,4,4
"50",4,2,3,1,4,2,4,2,3,4,2,1,1
"51",1,1,4,3,1,4,1,4,2,2,2,3,3
"52",1,2,1,2,2,3,2,3,5,5,3,4,4
"53",1,4,2,3,3,2,1,4,4,1,3,5,5
"54",3,3,2,1,3,2,3,2,4,4,4,1,1
"55",2,2,3,1,2,3,2,3,4,2,1,4,4
"56",1,2,2,3,1,2,1,2,2,1,4,3,3
"57",4,1,2,1,1,2,1,2,3,1,1,3,3
"58",2,2,5,3,2,4,2,5,1,1,1,4,4
"59",4,1,3,1,1,3,1,2,4,1,1,2,2
"60",5,3,3,1,5,3,5,3,4,4,4,2,4
"61",4,2,2,1,1,2,4,2,3,1,1,3,3
"62",3,2,2,5,3,4,3,1,1,3,4,4,4
"63",4,4,3,1,4,3,4,3,2,2,2,1,1
"64",3,2,2,1,3,2,3,2,4,4,4,1,1
"65",3,1,5,2,3,5,4,5,4,4,1,2,2
"66",2,4,3,1,2,5,2,4,4,2,5,5,5
"67",4,3,1,3,3,1,3,2,2,3,3,4,4
"68",4,2,3,5,4,1,4,3,2,4,1,5,5
"69",2,4,1,4,2,1,2,5,5,2,1,3,3
"70",3,2,2,1,3,2,3,5,5,3,4,4,4
"71",1,5,5,2,2,5,2,4,4,3,3,6,6
"72",1,3,3,2,1,3,1,3,3,1,4,2,2
"73",2,5,5,1,2,3,2,4,4,2,3,3,3
"74",2,5,5,4,2,5,2,5,3,3,1,1,1
"75",6,3,3,4,3,2,6,5,5,1,1,2,2
"76",5,5,2,6,6,3,6,3,3,6,1,4,3
"77",2,1,4,3,2,4,2,1,1,2,4,3,3
"78",4,3,1,3,3,1,3,1,4,3,3,2,2
"79",4,2,2,3,4,1,4,1,1,4,1,5,1
"80",1,5,5,4,4,5,1,3,2,2,2,3,3
"81",2,5,5,3,2,5,2,1,1,4,4,3,3
"82",3,5,5,1,3,5,3,4,4,3,2,2,2
"83",3,5,5,1,1,5,1,5,4,4,2,2,2
"84",2,5,5,3,2,1,2,4,4,2,1,1,1
"85",5,5,5,2,5,4,5,4,3,3,4,1,3
"86",5,4,1,2,1,4,5,4,3,3,3,2,2
"87",5,1,2,4,5,3,5,1,1,5,3,3,3
"88",3,1,1,4,3,1,3,2,2,3,1,4,4
"89",5,1,4,2,5,4,5,4,3,5,1,3,3
"90",3,2,1,4,3,2,3,2,1,3,1,4,4
"91",3,5,5,2,3,4,3,1,1,3,4,4,4
"92",6,6,5,4,5,3,5,3,1,1,1,2,3
"93",2,3,3,1,1,3,1,4,4,1,1,5,5
"94",1,3,5,2,1,4,1,3,3,1,4,4,4
"95",2,2,3,1,3,4,2,5,5,5,5,1,1
"96",4,2,2,3,4,5,4,1,1,4,5,5,5
"97",1,1,5,3,5,1,3,2,3,3,4,2,2
"98",1,5,5,3,1,5,1,4,4,1,2,2,2
"99",4,2,2,1,5,2,4,3,3,3,5,1,1
"100",1,6,6,4,1,3,1,3,6,1,2,5,3
