"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,2,3,4,4,5,7,4,1,6
"2",5,1,5,2,2,3,7,2,4,6
"3",5,4,5,2,2,1,7,2,3,6
"4",4,3,4,1,1,2,7,1,5,6
"5",4,3,4,2,2,5,7,2,1,6
"6",1,5,1,4,4,2,7,4,3,6
"7",1,2,1,4,4,5,7,4,3,6
"8",5,4,5,1,1,2,7,1,3,6
"9",4,3,4,1,1,5,7,1,2,6
"10",4,5,4,1,1,3,7,1,2,6
"11",1,5,1,4,4,2,7,4,3,6
"12",4,5,4,2,2,3,7,2,1,6
"13",5,2,5,4,4,3,7,4,1,6
"14",4,5,4,2,2,3,7,2,1,6
"15",4,5,4,2,2,3,7,2,1,6
"16",3,4,3,5,5,2,7,5,1,6
"17",2,1,2,4,4,3,7,4,5,6
"18",1,2,1,3,3,5,7,3,4,6
"19",1,5,1,2,2,4,7,2,3,6
"20",3,4,3,2,2,5,7,2,1,6
"21",4,3,4,2,2,5,7,2,1,6
"22",4,2,4,3,3,1,7,3,5,6
"23",4,3,4,2,2,1,7,2,5,6
"24",4,2,4,5,5,3,7,5,1,6
"25",2,1,2,4,4,3,7,4,5,6
"26",2,3,2,4,4,5,7,4,1,6
"27",2,5,2,3,3,4,7,3,1,6
"28",4,2,4,1,1,5,7,1,3,6
"29",3,2,3,4,4,1,7,4,5,6
"30",3,2,3,4,4,1,7,4,5,6
"31",5,1,5,3,3,2,7,3,4,6
"32",1,2,1,5,5,3,7,5,4,6
"33",4,3,4,2,2,5,7,2,1,6
"34",1,3,1,4,4,2,7,4,5,6
"35",5,2,5,1,1,3,7,1,4,6
"36",3,4,3,1,1,2,7,1,5,6
"37",2,1,2,3,3,5,7,3,4,6
"38",5,4,5,3,3,2,7,3,1,6
"39",4,3,4,1,1,2,7,1,5,6
"40",3,4,3,1,1,5,7,1,2,6
"41",2,4,2,5,5,3,7,5,1,6
"42",5,4,5,2,2,3,7,2,1,6
"43",3,5,3,1,1,2,7,1,4,6
"44",2,3,2,4,4,1,7,4,5,6
"45",1,2,1,4,4,3,7,4,5,6
"46",4,5,4,3,3,2,7,3,1,6
"47",4,5,4,3,3,2,7,3,1,6
"48",3,2,3,4,4,1,7,4,5,6
"49",5,2,5,4,4,1,7,4,3,6
"50",5,4,5,3,3,2,7,3,1,6
"51",5,4,5,3,3,1,7,3,2,6
"52",3,4,3,5,5,2,7,5,1,6
"53",4,2,4,5,5,3,7,5,1,6
"54",5,2,5,3,3,1,7,3,4,6
"55",3,2,3,5,5,4,7,5,1,6
"56",3,2,3,1,1,4,7,1,5,6
"57",2,3,2,4,4,5,7,4,1,6
"58",2,3,2,1,1,4,7,1,5,6
"59",1,2,1,4,4,3,7,4,5,6
"60",5,2,5,4,4,1,7,4,3,6
"61",4,5,4,3,3,2,7,3,1,6
"62",1,4,1,5,5,3,7,5,2,6
"63",5,1,5,3,3,2,7,3,4,6
"64",5,4,5,2,2,1,7,2,3,6
"65",2,3,2,1,1,4,7,1,5,6
"66",4,3,4,5,5,2,7,5,1,6
"67",3,2,3,5,5,1,7,5,4,6
"68",3,2,3,5,5,1,7,5,4,6
"69",5,4,5,1,1,2,7,1,3,6
"70",4,3,4,1,1,2,7,1,5,6
"71",3,1,3,4,4,2,7,4,5,6
"72",2,1,2,4,4,5,7,4,3,6
"73",4,5,4,3,3,2,7,3,1,6
"74",4,2,4,1,1,3,7,1,5,6
"75",1,2,1,4,4,3,7,4,5,6
"76",5,1,5,2,2,3,7,2,4,6
"77",4,5,4,2,2,1,7,2,3,6
"78",3,4,3,1,1,5,7,1,2,6
"79",2,3,2,1,1,4,7,1,5,6
"80",5,4,5,1,1,3,7,1,2,6
"81",2,3,2,5,5,4,7,5,1,6
"82",2,3,2,1,1,4,7,1,5,6
"83",2,3,2,5,5,1,7,5,4,6
"84",3,2,3,1,1,4,7,1,5,6
"85",3,2,3,4,4,1,7,4,5,6
"86",4,5,4,3,3,1,7,3,2,6
"87",4,2,4,1,1,3,7,1,5,6
"88",1,2,1,4,4,5,7,4,3,6
"89",3,2,3,4,4,1,7,4,5,6
"90",2,5,2,3,3,4,7,3,1,6
"91",3,1,3,5,5,4,7,5,2,6
"92",3,2,3,5,5,1,7,5,4,6
"93",2,1,2,4,4,3,7,4,5,6
"94",1,2,1,3,3,4,7,3,5,6
"95",2,3,2,4,4,1,7,4,5,6
"96",4,2,4,5,5,1,7,5,3,6
"97",3,2,3,5,5,1,7,5,4,6
"98",3,2,3,1,1,5,7,1,4,6
"99",5,4,5,2,2,3,7,2,1,6
"100",5,2,5,4,4,1,7,4,3,6
