"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",3,2,3,5,5,4,6,5,1
"2",2,3,2,4,4,1,5,4,3
"3",1,2,2,3,2,2,4,3,2
"4",4,2,4,3,3,1,5,3,2
"5",3,2,2,1,1,2,4,1,2
"6",1,3,1,4,4,2,5,4,3
"7",2,4,2,3,3,1,5,3,4
"8",1,3,1,2,2,4,5,2,3
"9",1,2,2,3,2,2,4,3,2
"10",3,2,2,1,2,2,4,1,2
"11",1,2,1,4,4,3,5,4,2
"12",4,1,4,5,5,3,6,5,2
"13",1,2,1,4,4,3,5,4,2
"14",3,2,2,1,2,2,4,1,2
"15",2,3,3,1,3,3,4,1,3
"16",1,2,2,3,3,2,4,3,2
"17",4,2,4,1,1,3,5,1,2
"18",2,3,3,1,3,3,4,1,3
"19",3,2,3,1,1,4,5,1,2
"20",4,3,4,2,2,1,5,2,3
"21",3,2,2,1,2,2,4,1,2
"22",1,5,1,3,3,2,6,3,4
"23",4,2,4,3,3,5,6,3,1
"24",2,4,2,3,3,1,5,3,4
"25",2,4,2,1,1,3,5,1,4
"26",2,1,1,3,1,1,4,3,1
"27",3,2,2,1,2,2,4,1,2
"28",3,5,3,2,2,1,6,2,4
"29",1,2,1,3,3,4,5,3,2
"30",4,3,4,5,5,1,6,5,2
"31",2,3,2,4,4,1,5,4,3
"32",2,3,2,4,4,1,5,4,3
"33",2,1,2,4,4,3,5,4,1
"34",1,3,1,4,4,2,5,4,3
"35",3,4,3,2,2,1,5,2,4
"36",4,3,4,1,1,2,5,1,3
"37",4,2,4,1,1,3,6,1,5
"38",1,3,3,2,3,3,4,2,3
"39",1,2,1,3,3,4,5,3,2
"40",1,3,1,2,2,4,5,2,3
"41",3,4,3,1,1,2,6,1,5
"42",2,1,1,3,1,1,4,3,1
"43",3,1,1,2,1,1,4,2,1
"44",2,4,2,1,1,3,5,1,4
"45",3,1,3,4,4,2,5,4,1
"46",2,4,2,1,1,5,6,1,3
"47",2,1,2,4,4,3,5,4,1
"48",4,3,4,2,2,1,5,2,3
"49",5,3,5,1,1,4,6,1,2
"50",2,3,2,1,1,4,5,1,3
"51",3,4,3,2,2,1,5,2,4
"52",2,4,2,1,1,3,5,1,4
"53",4,3,4,5,5,2,6,5,1
"54",2,3,2,1,1,4,5,1,3
"55",1,3,3,2,3,3,4,2,3
"56",2,1,1,3,3,1,4,3,1
"57",2,3,3,1,3,3,4,1,3
"58",2,1,2,3,3,4,5,3,1
"59",2,5,2,4,4,1,6,4,3
"60",4,3,4,1,1,2,5,1,3
"61",5,3,5,2,2,1,6,2,4
"62",2,3,2,1,1,4,5,1,3
"63",1,3,1,4,4,2,5,4,3
"64",1,4,1,3,3,2,5,3,4
"65",3,1,1,2,1,1,4,2,1
"66",4,2,4,1,1,3,5,1,2
"67",3,2,2,1,2,2,4,1,2
"68",3,4,3,2,2,1,6,2,5
"69",5,3,5,1,1,4,6,1,2
"70",1,3,3,2,3,3,4,2,3
"71",2,1,2,3,3,4,5,3,1
"72",1,3,1,5,5,2,6,5,4
"73",2,1,2,4,4,3,5,4,1
"74",2,1,1,3,1,1,4,3,1
"75",4,3,4,1,1,2,5,1,3
"76",1,3,3,2,3,3,4,2,3
"77",3,1,3,4,4,2,5,4,1
"78",3,4,3,1,1,2,5,1,4
"79",3,2,2,1,2,2,4,1,2
"80",1,2,2,3,2,2,4,3,2
"81",1,4,1,2,2,3,6,2,5
"82",1,4,1,2,2,3,6,2,5
"83",4,1,4,5,5,3,6,5,2
"84",4,2,4,1,1,3,5,1,2
"85",2,4,2,3,3,1,6,3,5
"86",4,2,4,3,3,1,5,3,2
"87",2,3,2,1,1,5,6,1,4
"88",2,5,2,3,3,1,6,3,4
"89",2,1,1,3,1,1,4,3,1
"90",3,2,2,1,2,2,4,1,2
"91",4,2,4,5,5,3,6,5,1
"92",2,3,3,1,3,3,4,1,3
"93",2,1,2,4,4,5,6,4,3
"94",1,4,1,2,2,3,6,2,5
"95",3,4,3,2,2,1,5,2,4
"96",2,3,2,4,4,1,5,4,3
"97",1,2,2,3,3,2,4,3,2
"98",2,4,2,1,1,3,6,1,5
"99",1,3,1,4,4,5,6,4,2
"100",5,4,5,1,1,2,6,1,3
