"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",2,3,2,1,1,6,6,4,1,5
"2",2,5,2,1,1,6,6,4,1,3
"3",5,2,5,4,4,6,6,1,4,3
"4",4,2,4,5,5,6,6,3,5,1
"5",4,3,4,1,1,6,6,2,1,5
"6",3,2,3,5,5,6,6,1,5,4
"7",2,4,2,1,1,6,6,3,1,5
"8",2,4,2,1,1,6,6,5,1,3
"9",5,3,5,1,1,6,6,4,1,2
"10",5,4,5,3,3,6,6,2,3,1
"11",3,5,3,1,1,6,6,4,1,2
"12",4,3,4,5,5,6,6,2,5,1
"13",4,3,4,1,1,6,6,2,1,5
"14",4,3,4,5,5,6,6,2,5,1
"15",4,2,4,1,1,6,6,5,1,3
"16",3,1,3,4,4,6,6,2,4,5
"17",2,5,2,3,3,6,6,1,3,4
"18",1,2,1,5,5,6,6,3,5,4
"19",5,2,5,4,4,6,6,3,4,1
"20",4,1,4,5,5,6,6,2,5,3
"21",4,1,4,3,3,6,6,5,3,2
"22",5,1,5,3,3,6,6,2,3,4
"23",2,4,2,1,1,6,6,3,1,5
"24",4,3,4,1,1,6,6,2,1,5
"25",5,3,5,1,1,6,6,2,1,4
"26",4,2,4,1,1,6,6,3,1,5
"27",3,4,3,1,1,6,6,5,1,2
"28",2,4,2,5,5,6,6,3,5,1
"29",5,3,5,1,1,6,6,2,1,4
"30",2,4,2,1,1,6,6,5,1,3
"31",5,1,5,3,3,6,6,2,3,4
"32",5,2,5,3,3,6,6,1,3,4
"33",1,3,1,2,2,6,6,4,2,5
"34",4,1,4,5,5,6,6,2,5,3
"35",5,4,5,1,1,6,6,3,1,2
"36",1,2,1,5,5,6,6,3,5,4
"37",1,2,1,4,4,6,6,3,4,5
"38",3,1,3,2,2,6,6,5,2,4
"39",5,3,5,2,2,6,6,4,2,1
"40",1,3,1,2,2,6,6,4,2,5
"41",5,3,5,1,1,6,6,4,1,2
"42",1,4,1,2,2,6,6,3,2,5
"43",5,2,5,4,4,6,6,1,4,3
"44",2,5,2,3,3,6,6,4,3,1
"45",5,4,5,1,1,6,6,3,1,2
"46",5,3,5,1,1,6,6,4,1,2
"47",4,5,4,1,1,6,6,2,1,3
"48",1,3,1,5,5,6,6,4,5,2
"49",2,4,2,5,5,6,6,3,5,1
"50",5,3,5,1,1,6,6,2,1,4
"51",5,2,5,4,4,6,6,3,4,1
"52",2,3,2,5,5,6,6,1,5,4
"53",1,3,1,5,5,6,6,2,5,4
"54",5,2,5,1,1,6,6,4,1,3
"55",1,3,1,4,4,6,6,2,4,5
"56",5,2,5,4,4,6,6,3,4,1
"57",1,3,1,2,2,6,6,4,2,5
"58",3,4,3,2,2,6,6,5,2,1
"59",3,1,3,5,5,6,6,4,5,2
"60",3,2,3,5,5,6,6,1,5,4
"61",4,2,4,5,5,6,6,3,5,1
"62",1,4,1,5,5,6,6,2,5,3
"63",2,5,2,3,3,6,6,4,3,1
"64",4,2,4,5,5,6,6,3,5,1
"65",2,5,2,3,3,6,6,1,3,4
"66",2,3,2,1,1,6,6,4,1,5
"67",1,2,1,5,5,6,6,4,5,3
"68",5,3,5,4,4,6,6,2,4,1
"69",1,3,1,2,2,6,6,5,2,4
"70",2,4,2,1,1,6,6,5,1,3
"71",2,3,2,1,1,6,6,5,1,4
"72",2,3,2,1,1,6,6,4,1,5
"73",3,1,3,4,4,6,6,2,4,5
"74",5,1,5,3,3,6,6,4,3,2
"75",3,5,3,1,1,6,6,4,1,2
"76",5,1,5,2,2,6,6,4,2,3
"77",5,2,5,3,3,6,6,1,3,4
"78",1,5,1,4,4,6,6,2,4,3
"79",1,3,1,4,4,6,6,2,4,5
"80",5,2,5,3,3,6,6,4,3,1
"81",1,3,1,4,4,6,6,2,4,5
"82",1,4,1,5,5,6,6,3,5,2
"83",4,2,4,1,1,6,6,3,1,5
"84",4,2,4,3,3,6,6,1,3,5
"85",5,4,5,1,1,6,6,3,1,2
"86",5,2,5,4,4,6,6,1,4,3
"87",1,4,1,3,3,6,6,2,3,5
"88",1,3,1,4,4,6,6,2,4,5
"89",4,1,4,5,5,6,6,2,5,3
"90",3,2,3,4,4,6,6,5,4,1
"91",4,1,4,3,3,6,6,2,3,5
"92",4,3,4,5,5,6,6,2,5,1
"93",3,1,3,4,4,6,6,2,4,5
"94",3,4,3,2,2,6,6,5,2,1
"95",3,4,3,2,2,6,6,5,2,1
"96",1,5,1,2,2,6,6,4,2,3
"97",4,5,4,3,3,6,6,2,3,1
"98",5,1,5,3,3,6,6,2,3,4
"99",3,1,3,4,4,6,6,2,4,5
"100",5,2,5,4,4,6,6,3,4,1
