"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,5,3,2,2,4,2,6
"2",1,5,3,4,4,2,4,6
"3",1,4,3,5,5,2,5,6
"4",1,4,5,2,2,3,2,6
"5",1,5,2,4,4,3,4,6
"6",1,2,3,5,5,4,5,6
"7",1,3,2,5,5,4,5,6
"8",1,5,3,2,2,4,2,6
"9",1,5,3,4,4,2,4,6
"10",1,4,2,5,5,3,5,6
"11",1,2,4,5,5,3,5,6
"12",1,4,3,5,5,2,5,6
"13",1,5,3,2,2,4,2,6
"14",1,3,4,2,2,5,2,6
"15",1,2,4,3,3,5,3,6
"16",1,2,5,3,3,4,3,6
"17",1,4,2,5,5,3,5,6
"18",1,2,3,5,5,4,5,6
"19",1,2,4,3,3,5,3,6
"20",1,5,2,4,4,3,4,6
"21",1,2,3,5,5,4,5,6
"22",1,2,4,5,5,3,5,6
"23",1,4,2,5,5,3,5,6
"24",1,2,4,5,5,3,5,6
"25",1,3,5,2,3,4,2,6
"26",1,5,4,2,2,3,2,6
"27",1,4,3,5,5,2,5,6
"28",1,3,5,2,2,4,2,6
"29",1,5,4,2,2,3,2,6
"30",1,2,5,3,3,4,3,6
"31",1,2,3,4,4,5,4,6
"32",1,5,4,2,2,3,2,6
"33",1,2,5,3,3,4,3,6
"34",1,5,3,4,4,2,4,6
"35",1,3,5,4,4,2,4,6
"36",1,5,3,4,4,2,4,6
"37",1,4,2,3,3,5,3,6
"38",1,2,3,5,5,4,5,6
"39",1,4,2,5,5,3,5,6
"40",1,5,3,2,2,4,2,6
"41",1,3,5,2,2,4,2,6
"42",1,4,3,5,5,2,5,6
"43",1,4,2,5,5,3,5,6
"44",1,4,3,5,5,2,5,6
"45",1,2,5,3,3,4,3,6
"46",1,4,2,5,4,3,5,6
"47",1,3,4,2,2,5,2,6
"48",1,3,5,4,4,2,4,6
"49",1,2,4,5,5,3,5,6
"50",1,2,5,3,3,4,3,6
"51",1,4,3,5,5,2,5,6
"52",1,4,3,5,5,2,5,6
"53",1,4,3,5,5,2,5,6
"54",1,4,3,5,5,2,5,6
"55",1,4,3,5,5,2,5,6
"56",1,5,4,2,5,3,2,6
"57",1,3,4,2,2,5,2,6
"58",1,2,4,5,5,3,5,6
"59",1,4,3,5,5,2,5,6
"60",1,4,2,5,5,3,5,6
"61",1,2,3,4,4,5,4,6
"62",1,3,5,2,2,4,2,6
"63",1,2,4,3,2,5,3,6
"64",1,5,4,3,3,2,3,6
"65",1,2,5,3,3,4,3,6
"66",1,5,3,2,2,4,2,6
"67",1,5,4,2,2,3,2,6
"68",1,3,4,5,5,2,5,6
"69",1,3,5,2,2,4,2,6
"70",1,2,4,5,5,3,5,6
"71",1,2,5,3,3,4,3,6
"72",1,3,4,2,2,5,2,6
"73",1,5,2,4,5,3,4,6
"74",1,2,3,5,5,4,5,6
"75",1,5,2,4,4,3,4,6
"76",1,2,5,3,3,4,3,6
"77",1,5,3,2,2,4,2,6
"78",1,4,2,5,5,3,5,6
"79",1,2,4,5,5,3,5,6
"80",1,5,3,4,5,2,4,6
"81",1,2,4,5,5,3,5,6
"82",1,5,3,2,2,4,2,6
"83",1,5,2,4,4,3,4,6
"84",1,5,4,2,2,3,2,6
"85",1,2,3,5,5,4,5,6
"86",1,2,5,4,4,3,4,6
"87",1,2,5,3,3,4,3,6
"88",1,5,3,4,4,2,4,6
"89",1,5,2,4,4,3,4,6
"90",1,3,5,2,2,4,2,6
"91",1,5,3,4,5,2,4,6
"92",1,4,5,2,4,3,2,6
"93",1,4,2,5,5,3,5,6
"94",1,5,4,2,5,3,2,6
"95",1,5,4,2,2,3,2,6
"96",1,5,3,2,2,4,2,6
"97",1,5,3,4,4,2,4,6
"98",1,3,5,2,2,4,2,6
"99",1,5,2,4,4,3,4,6
"100",1,2,4,3,3,5,3,6
