"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,5,6,4,1,2,2,1
"2",2,5,6,1,4,3,3,4
"3",1,3,6,5,4,2,2,4
"4",2,3,6,5,1,4,4,1
"5",1,3,5,3,4,3,2,4
"6",4,2,5,2,1,3,3,1
"7",1,2,6,5,4,3,3,4
"8",3,4,5,4,2,4,1,2
"9",1,3,5,3,4,2,2,4
"10",4,2,6,3,5,1,1,5
"11",2,4,6,5,3,1,1,3
"12",1,2,5,2,3,4,4,3
"13",4,1,6,2,3,5,5,3
"14",1,5,6,2,2,3,3,4
"15",1,5,6,4,2,3,3,2
"16",4,5,6,1,2,3,3,2
"17",1,3,6,5,2,4,4,2
"18",5,2,6,4,3,1,1,3
"19",4,2,5,2,2,1,1,3
"20",4,2,5,2,1,3,3,1
"21",3,1,5,1,1,4,4,2
"22",3,2,6,4,1,5,5,1
"23",3,1,6,4,2,5,5,2
"24",5,3,6,4,4,2,2,1
"25",4,1,5,1,3,2,2,3
"26",2,5,6,4,3,1,1,3
"27",4,1,6,5,3,2,2,3
"28",5,1,6,4,3,2,2,3
"29",2,1,5,1,3,1,4,3
"30",3,5,6,1,4,2,2,4
"31",3,2,6,5,1,4,4,1
"32",2,1,5,1,3,1,4,3
"33",1,2,5,2,4,2,3,4
"34",3,4,6,1,5,2,2,5
"35",3,4,6,1,5,2,2,5
"36",4,3,5,3,2,1,1,2
"37",1,4,5,4,3,4,2,3
"38",3,2,6,4,5,1,1,5
"39",3,2,6,4,5,1,1,5
"40",4,3,5,3,2,3,1,2
"41",4,5,6,3,1,2,2,1
"42",3,2,6,5,5,1,1,4
"43",2,3,6,5,4,1,1,4
"44",5,3,6,2,1,4,4,1
"45",1,2,5,2,3,2,4,3
"46",1,3,6,4,2,5,5,2
"47",2,3,5,3,4,3,1,4
"48",5,2,6,3,1,4,4,1
"49",5,3,6,4,2,1,1,2
"50",1,5,6,3,3,4,4,2
"51",1,5,6,2,4,3,3,4
"52",3,4,5,4,1,2,2,1
"53",5,4,6,2,3,1,1,3
"54",2,3,6,1,5,4,4,5
"55",2,5,6,3,4,1,1,4
"56",2,1,5,1,4,3,3,4
"57",1,3,5,3,3,4,4,2
"58",4,2,6,3,5,1,1,5
"59",4,5,6,2,1,3,3,1
"60",2,4,6,5,3,1,1,3
"61",5,4,6,2,1,3,3,1
"62",2,1,6,3,4,5,5,4
"63",2,5,6,1,1,3,3,4
"64",3,2,6,1,5,4,4,5
"65",4,5,6,3,1,2,2,1
"66",3,1,5,1,4,2,2,4
"67",1,4,6,5,2,3,3,2
"68",5,1,6,4,3,2,2,3
"69",3,2,5,2,1,2,4,1
"70",4,3,5,3,1,3,2,1
"71",5,2,6,4,4,1,1,3
"72",1,4,6,3,2,5,5,2
"73",2,3,5,3,3,4,4,1
"74",5,2,6,3,1,4,4,1
"75",4,1,6,5,3,2,2,3
"76",3,5,6,4,2,1,1,2
"77",2,5,6,3,1,4,4,1
"78",4,2,5,2,1,3,3,1
"79",2,1,5,1,4,1,3,4
"80",5,2,6,4,3,1,1,3
"81",4,2,6,1,1,5,5,3
"82",5,4,6,1,1,3,3,2
"83",2,4,5,4,1,4,3,1
"84",3,4,6,2,1,5,5,1
"85",2,1,6,5,3,4,4,3
"86",3,1,6,2,5,4,4,5
"87",1,3,6,4,4,2,2,5
"88",2,1,6,3,5,4,4,5
"89",3,5,6,2,4,1,1,4
"90",2,4,5,4,4,3,3,1
"91",2,1,6,4,4,3,3,5
"92",5,2,6,3,1,4,4,1
"93",3,4,6,2,5,1,1,5
"94",1,3,5,3,4,2,2,4
"95",2,5,6,4,1,3,3,1
"96",3,1,5,1,4,2,2,4
"97",3,2,5,2,1,4,4,1
"98",3,1,5,1,1,2,2,4
"99",2,3,5,3,4,3,1,4
"100",5,1,6,3,2,4,4,2
