"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2,2,4,3,2,1
"2",1,4,2,2,3,1,2,2
"3",4,1,2,2,3,4,2,2
"4",5,2,4,4,3,1,4,2
"5",2,5,1,1,3,4,1,5
"6",1,3,4,4,2,1,4,4
"7",1,3,4,4,2,5,4,3
"8",1,3,2,2,4,1,2,2
"9",4,3,1,1,5,2,1,3
"10",1,4,3,3,2,1,3,3
"11",4,1,2,2,5,3,2,1
"12",5,2,1,1,3,4,1,2
"13",5,4,2,2,1,3,2,4
"14",4,5,1,1,2,3,1,5
"15",5,2,4,4,3,1,4,2
"16",3,1,2,2,4,3,2,2
"17",1,4,5,5,3,2,5,4
"18",3,2,1,1,4,3,1,1
"19",4,5,1,1,3,2,1,5
"20",2,1,5,5,4,3,5,1
"21",4,3,2,2,5,1,2,3
"22",1,5,4,4,2,3,4,5
"23",2,1,5,5,3,4,5,1
"24",4,2,3,3,1,4,3,3
"25",3,2,1,1,4,5,1,2
"26",5,2,1,1,4,3,1,2
"27",3,4,1,3,3,2,1,4
"28",4,1,3,3,2,4,3,1
"29",5,4,1,1,3,2,1,4
"30",4,2,1,1,3,4,1,1
"31",1,3,4,4,2,1,4,4
"32",3,2,5,5,4,1,5,2
"33",2,4,3,2,2,1,3,4
"34",1,2,3,3,4,5,3,2
"35",2,4,3,2,2,1,3,4
"36",4,2,1,1,3,5,1,2
"37",4,3,1,4,4,2,1,3
"38",3,5,4,4,2,1,4,5
"39",4,5,3,3,1,2,3,5
"40",4,1,3,4,4,2,3,1
"41",3,2,4,4,1,3,4,4
"42",5,3,1,1,2,4,1,3
"43",3,1,5,5,2,4,5,1
"44",5,4,3,3,1,2,3,4
"45",2,4,3,3,1,2,3,3
"46",4,3,5,5,2,1,5,3
"47",5,3,2,2,1,4,2,3
"48",4,5,3,3,1,2,3,5
"49",2,1,5,5,3,4,5,1
"50",5,1,2,2,4,3,2,1
"51",3,2,4,4,5,1,4,2
"52",4,3,2,2,1,4,2,3
"53",2,4,3,2,2,1,3,4
"54",4,2,1,1,3,5,1,2
"55",3,2,1,1,4,3,1,2
"56",4,2,1,1,3,5,1,2
"57",3,5,2,2,1,4,2,5
"58",4,2,1,1,3,4,1,1
"59",3,1,4,4,2,3,4,4
"60",4,1,3,3,5,2,3,1
"61",3,1,4,4,2,5,4,1
"62",5,3,1,1,2,4,1,3
"63",1,3,4,4,2,1,4,4
"64",2,1,3,3,4,2,3,3
"65",1,2,3,3,4,1,3,3
"66",3,1,4,4,2,3,4,4
"67",2,3,5,5,4,1,5,3
"68",3,1,4,4,2,5,4,1
"69",1,2,4,4,3,1,4,2
"70",3,1,4,4,2,3,4,4
"71",2,4,5,5,1,3,5,4
"72",2,4,5,5,1,3,5,4
"73",1,2,4,4,5,3,4,2
"74",4,2,1,1,3,5,1,2
"75",4,3,1,1,5,2,1,3
"76",5,4,2,2,3,1,2,4
"77",2,4,3,3,1,2,3,3
"78",4,1,2,2,3,4,2,2
"79",1,3,2,2,4,1,2,2
"80",3,2,4,4,1,5,4,2
"81",4,2,1,1,3,4,1,1
"82",2,1,4,4,3,5,4,1
"83",3,1,5,5,4,2,5,1
"84",4,1,2,2,5,3,2,1
"85",1,5,4,4,2,3,4,5
"86",1,3,4,1,1,2,4,3
"87",4,3,1,1,2,5,1,3
"88",1,5,4,4,2,3,4,5
"89",4,2,5,5,3,1,5,2
"90",2,1,4,4,3,2,4,4
"91",3,1,2,2,4,3,2,1
"92",4,5,3,3,1,2,3,5
"93",4,5,1,1,2,3,1,5
"94",2,4,5,5,3,1,5,4
"95",1,3,5,5,4,2,5,3
"96",4,2,1,1,3,4,1,1
"97",3,4,1,1,5,2,1,4
"98",5,4,1,1,3,2,1,4
"99",3,1,2,3,3,4,2,1
"100",2,1,4,4,3,2,4,4
