"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,3,2,5,5,4
"2",3,1,3,2,5,5,4
"3",2,4,2,1,5,5,3
"4",4,2,4,1,5,5,3
"5",3,1,3,2,5,5,4
"6",4,3,4,1,5,5,2
"7",2,3,2,4,5,5,1
"8",4,1,4,2,5,5,3
"9",3,4,3,1,5,5,2
"10",2,4,2,3,5,5,1
"11",2,1,2,4,5,5,3
"12",1,4,1,3,5,5,2
"13",3,4,3,1,5,5,2
"14",1,3,1,4,5,5,2
"15",3,1,3,2,5,5,4
"16",4,2,4,1,5,5,3
"17",4,2,4,3,5,5,1
"18",2,3,2,4,5,5,1
"19",3,1,3,2,5,5,4
"20",2,1,2,4,5,5,3
"21",2,3,2,4,5,5,1
"22",2,3,2,4,5,5,1
"23",2,1,2,4,5,5,3
"24",2,3,2,4,5,5,1
"25",1,3,1,4,5,5,2
"26",2,4,2,3,5,5,1
"27",1,3,1,4,5,5,2
"28",2,3,2,4,5,5,1
"29",3,1,3,2,5,5,4
"30",2,4,2,1,5,5,3
"31",1,3,1,4,5,5,2
"32",1,2,1,4,5,5,3
"33",3,1,3,4,5,5,2
"34",3,1,3,2,5,5,4
"35",1,3,1,4,5,5,2
"36",2,4,2,1,5,5,3
"37",1,4,1,3,5,5,2
"38",2,4,2,1,5,5,3
"39",3,1,3,2,5,5,4
"40",1,3,1,4,5,5,2
"41",2,4,2,3,5,5,1
"42",3,1,3,2,5,5,4
"43",2,1,2,4,5,5,3
"44",3,4,3,1,5,5,2
"45",2,4,2,1,5,5,3
"46",2,4,2,3,5,5,1
"47",4,1,4,3,5,5,2
"48",4,2,4,1,5,5,3
"49",3,2,3,1,5,5,4
"50",1,3,1,4,5,5,2
"51",2,4,2,3,5,5,1
"52",2,3,2,4,5,5,1
"53",1,3,1,4,5,5,2
"54",4,2,4,1,5,5,3
"55",2,4,2,1,5,5,3
"56",1,3,1,2,5,5,4
"57",3,4,3,1,5,5,2
"58",2,3,2,4,5,5,1
"59",3,4,3,1,5,5,2
"60",1,3,1,4,5,5,2
"61",2,4,2,3,5,5,1
"62",2,4,2,1,5,5,3
"63",2,3,2,4,5,5,1
"64",4,3,4,2,5,5,1
"65",4,2,4,1,5,5,3
"66",1,2,1,3,5,5,4
"67",1,3,1,4,5,5,2
"68",1,2,1,3,5,5,4
"69",2,3,2,4,5,5,1
"70",4,1,4,2,5,5,3
"71",4,2,4,1,5,5,3
"72",3,4,3,1,5,5,2
"73",3,1,3,2,5,5,4
"74",3,1,3,2,5,5,4
"75",2,4,2,1,5,5,3
"76",4,2,4,1,5,5,3
"77",4,3,4,2,5,5,1
"78",2,3,2,4,5,5,1
"79",4,1,4,2,5,5,3
"80",3,2,3,1,5,5,4
"81",3,1,3,4,5,5,2
"82",1,3,1,2,5,5,4
"83",3,2,3,1,5,5,4
"84",1,4,1,3,5,5,2
"85",1,4,1,3,5,5,2
"86",3,4,3,2,5,5,1
"87",1,3,1,4,5,5,2
"88",2,3,2,4,5,5,1
"89",3,4,3,1,5,5,2
"90",3,4,3,1,5,5,2
"91",1,3,1,4,5,5,2
"92",4,2,4,1,5,5,3
"93",4,2,4,1,5,5,3
"94",3,1,3,2,5,5,4
"95",3,2,3,1,5,5,4
"96",2,3,2,4,5,5,1
"97",1,3,1,2,5,5,4
"98",4,2,4,1,5,5,3
"99",2,1,2,4,5,5,3
"100",1,4,1,3,5,5,2
