
Depth: 0

Nr of module: 1

Rownames: 

	Arabis.alpina
	Astragalus.alpinus
	Bartsia.alpina
	Cassiope.hypniodes
	Cassiope.tetragona
	Cerastium.alpinun
	Diapensia.lapponica
	Dryas.octopetala
	Parnassia.palustris
	Pinguicula.alpina
	Polygonum.viviparum
	Potentilla.crantzii
	Rhodiola.rosea
	Rhododendron.lapponicum
	Salix.lanata
	Salix.polaris
	Salix.reticulata
	Saxifraga.aizoides
	Saxifraga.oppositifolia
	Silene.acaulis
	Taraxacum.sp.
	Trollius.europaeus
	Viola.biflora

Colnames: 

	Phytomyza.aquilonia
	Alliopsis.glacialis
	Botanophilia.bidens
	Delai.piliventris
	Egle.minuta
	Egle.parva
	Egle.sp.
	Paradelia.sp.
	Pegomya.haemorrhoum
	Pegomya.sp.
	Pegoplata.aestiva
	Dipt..sp.
	Dipt..sp..1
	Dipt..sp..2
	Zaphne.barbiventris
	Zaphne.frontata
	Zaphne.sp.
	Zaphne.sp..1
	Bellardia.pubicornis
	Dasineura.sp.
	Acamptocladius.submontanus
	Corynoneura.scutella
	Heterotrissocladius.subpilosus
	Limnophyes.brachytomus
	Limnophyes.natalensis
	Limnophyes.ninae
	Limnophyes.schnelli
	Micropsectra.radialis
	Micropsectra.sp.
	Micropsectra.sp..1
	Oliveridia.tricornis
	Pseudosmittia.oxoniana
	Smittia.betuletorum
	Smittia.aterrima
	Smittia.sp.
	Smittia.sp..1
	Chloropinae.sp.
	Dolichopus.plumipes
	Rhaphium.crassipes
	Empis.lucida
	Rhamphomyia.aethiops
	Rhamphomyia.obscuripennis
	Rhamphomyia.morio
	Rhamphomyia.reflexa
	Fannia.mollissima
	Platypalpus.nigritarsis
	Phyllolabis.macroura
	Coenosia.atritibia
	Coenosia.octopunctata
	Phaonia.alpicola
	Phaonia.lugubris
	Phaonia.subfuscinereis
	Spilogona.alpica
	Spilogona.megastoma
	Spilogona.nitidicauda
	Spilogona.triangulifera
	Thricops.cunctans
	Thricops.furcatus
	Thricops.hirtulus
	Thricops.nigritellus
	Thricops.rostratus
	Boletina.sp.
	Mycomya.fuscata
	Megaselia.cirriventris
	Megaselia.coci
	Megaselia.digitalis
	Megaselia.diversa
	Megaselia.girandii
	Megaselia.groenlandica
	Megaselia.pleuralis
	Megaselia.sordida
	Megaselia.sp.
	Parapiophila.vulgaris
	Chamaepsila.morio
	Gimnomera.dorsala
	Bradysia.girandii
	Bradysia.sp.
	Bradysia.sp..1
	Bradysia.sp..2
	Corynoptera.refrigerata
	Corynoptera.sp.
	Corynoptera.sp..1
	Lycoriella.curvispina
	Lycoriella.freyi
	Lycoriella.sp.
	Lycoriella.sp..1
	Trichosia.truncata
	Allophorocera.lapponica
	Podabrus.sp.
	Arpedium.sp.
	Bombus.alpinus
	Bombus.hyperboreus
	Alysiinae.sp.
	Alysiinae.sp..1
	Alysiinae.sp..2
	Alysiinae.sp..3
	Alysiinae.sp..4
	Cotesia.sp.
	Tetrastichinae.sp.
	Aclastus.sp.
	Aclastus.sp..1
	Orthocentrinae.sp.
	Phygadenon.sp.
	Porizontini.sp.
	Ichn..sp.
	Ichn..sp..1
	Ichn..sp..2
	Ichn..sp..3
	Stenomacrus.sp.
	Platygaster.sp.
	Pteromalidae.sp.
	Pteromalidae.sp..1
	Xestommaster.sp.
	Cidaria.sp.
	Urbicola.sp.
	Anarta.sp.
	Thysan..sp.
	Limnophilus.sp.

__________________________

__________________________

Depth: 1

Nr of module: 1

Rownames: 

	Rhododendron.lapponicum
	Salix.reticulata
	Saxifraga.oppositifolia

Colnames: 

	Dipt..sp..2
	Zaphne.barbiventris
	Zaphne.sp..1
	Rhamphomyia.obscuripennis
	Coenosia.octopunctata
	Allophorocera.lapponica
	Podabrus.sp.
	Bombus.alpinus
	Pteromalidae.sp..1
	Limnophilus.sp.

__________________________

Depth: 1

Nr of module: 2

Rownames: 

	Dryas.octopetala

Colnames: 

	Botanophilia.bidens
	Chloropinae.sp.
	Empis.lucida
	Rhamphomyia.reflexa
	Phaonia.lugubris
	Megaselia.coci
	Megaselia.sordida
	Bradysia.sp..2
	Alysiinae.sp..1
	Porizontini.sp.
	Ichn..sp..1

__________________________

Depth: 1

Nr of module: 3

Rownames: 

	Pinguicula.alpina
	Polygonum.viviparum
	Silene.acaulis
	Viola.biflora

Colnames: 

	Smittia.sp.
	Rhamphomyia.aethiops
	Rhamphomyia.morio
	Coenosia.atritibia
	Spilogona.nitidicauda
	Thricops.hirtulus
	Megaselia.sp.
	Bradysia.sp.
	Bradysia.sp..1
	Lycoriella.freyi
	Alysiinae.sp.
	Alysiinae.sp..3
	Aclastus.sp..1
	Stenomacrus.sp.
	Cidaria.sp.
	Anarta.sp.
