
Depth: 0

Nr of module: 1

Rownames: 

	Achillea.millefolium
	Aciphylla.glacialis
	Aciphylla.simplicifolia
	Asperula.gunnii
	Baeckia.gunniana
	Brachycome.scapiformis
	Brachycome.scapigera
	Brachycome.sp.
	Brachycome.stolonifera
	Celmisia.longifolia
	Craspedia.sp.
	Epacris.microphylla
	Epacris.paludosa
	Epacris.petrophila
	Epilobium.gunnianum
	Euphrasia.collina diversicolor
	Gentianella.diemensis
	Helichrysum.alpinum
	Helichrysum.scorpioides
	Helipterum.albicans
	Helipterum.anthemoides
	Hypochoeris.radicata
	Kunzea.muelleri
	Leptorhynchos.squamatus
	Leucopogon.montanus
	Microseris.lanceolata
	Neopaxia.australasica
	Olearia.phlogopappa
	Orites.lancifolia
	Oxylobium.ellipticum
	Pemelea.ligustrina
	Pentachondra.pumila
	Phebalium.ovatifolium
	Prasophyllum.alpinum
	Prostanthera.cuneata
	Richea.continentis
	Senecio.gunnii
	Senecio.lautus
	Senecio.pectinatus
	Stylidium.graminifolium
	Wahlenbergia.ceracea

Colnames: 

	Exoneura.sp
	Apis.mellifera
	Euryglossa.sp.
	Hylaeus.semipersonatus
	Hylaeus.sp.
	Hyphesma.sp.
	Leioproctus.sp.1
	Leioproctus.sp.2
	Leioproctus.sp.3
	Lasioglossum.sp.
	Lasioglossum.sp.1
	Lasioglossum.sp.2
	Lasioglossum.sp.3
	Lasioglossum.sp.4
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Lasioglossum.Parasphecodes.sp.2
	Lasioglossum.Parasphecodes.sp.3
	Megachile.sp.
	Euryinae.sp.1
	Euryinae.sp.2
	Euryinae.sp.3
	Anthoboscinae
	Dilophus.sp.
	Sciaridae
	Pelecorhychus.rubidus
	Tabanus.froggatti
	Stratiomyidae
	Therevidae
	Comptosia.sylvana
	Villa.sp.
	Empis.ap.B
	Empis.sp.C
	Empis.sp.D
	Empis.sp.E
	Empis.sp.F
	Dolichopodidae
	Diostracus.sp.1
	Eristalis.tenax
	Melangyna.sp.
	Syrphus.sp.
	Rivellia.sp.F
	Sphenella.marginata
	Tephritis.sp.A
	Tephritis.sp.B
	Phytoliriomyza.sp.
	Incurviseta.sp.D
	Incurviseta.sp.K
	Poecilohetaerus.sp.
	Sapromyza.sp.
	Tapeigaster.nigricornis
	Scaptomyza.australis
	Hydrellia.sp.
	Chloromerus.sp.
	Coenosia.sp.A
	Coenosia.sp.B
	Helina.sp.A
	Helina.sp.B
	Limnophora.sp.
	Musca.vetustissima
	Prohardya.carinata
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.stygia
	Calliphora.sp.
	Calliphora.sp.A
	Calliphora.sp.B
	Alophera.sp.
	Chaetophthalamus.dorsalis
	Prosena.sp.C
	Rutilia.sp.
	Scaptia.alpina
	Senostoma.sp.A
	Senostoma.sp.B
	Senostoma.sp.D
	Unident.no.1
	Unident.no.2
	Unident.no.3
	Unident.no.4
	Agrostis.infusa
	Hippotion.scofa
	Oreixenica.orichora

__________________________

__________________________

Depth: 1

Nr of module: 1

Rownames: 

	Epacris.paludosa

Colnames: 

	Agrostis.infusa
	Hippotion.scofa

__________________________

Depth: 1

Nr of module: 2

Rownames: 

	Epacris.microphylla
	Prasophyllum.alpinum

Colnames: 

	Diostracus.sp.1
	Sapromyza.sp.
	Senostoma.sp.D
	Unident.no.4

__________________________

Depth: 1

Nr of module: 3

Rownames: 

	Helichrysum.scorpioides
	Leptorhynchos.squamatus
	Senecio.gunnii
	Senecio.pectinatus

Colnames: 

	Tephritis.sp.B
	Incurviseta.sp.D
	Chloromerus.sp.
	Oreixenica.orichora

__________________________

Depth: 1

Nr of module: 4

Rownames: 

	Achillea.millefolium
	Microseris.lanceolata

Colnames: 

	Hylaeus.semipersonatus
	Leioproctus.sp.2
	Lasioglossum.sp.1
	Lasioglossum.Parasphecodes.sp.2
	Alophera.sp.

__________________________

Depth: 1

Nr of module: 5

Rownames: 

	Brachycome.scapigera
	Brachycome.stolonifera
	Phebalium.ovatifolium
	Senecio.lautus

Colnames: 

	Empis.sp.F
	Melangyna.sp.
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.sp.A

__________________________

Depth: 1

Nr of module: 6

Rownames: 

	Celmisia.longifolia
	Epacris.petrophila
	Hypochoeris.radicata
	Kunzea.muelleri
	Oxylobium.ellipticum
	Prostanthera.cuneata
	Richea.continentis

Colnames: 

	Exoneura.sp
	Euryglossa.sp.
	Leioproctus.sp.1
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Lasioglossum.Parasphecodes.sp.3
	Euryinae.sp.1
	Sciaridae
	Pelecorhychus.rubidus
	Stratiomyidae
	Empis.sp.E
	Incurviseta.sp.K
	Chaetophthalamus.dorsalis

__________________________

Depth: 1

Nr of module: 7

Rownames: 

	Aciphylla.simplicifolia
	Craspedia.sp.
	Pemelea.ligustrina

Colnames: 

	Apis.mellifera
	Lasioglossum.sp.4
	Empis.ap.B
	Eristalis.tenax
	Sphenella.marginata
	Limnophora.sp.
	Senostoma.sp.A
	Unident.no.3

__________________________

Depth: 1

Nr of module: 8

Rownames: 

	Orites.lancifolia

Colnames: 

	Hyphesma.sp.
	Leioproctus.sp.3
	Lasioglossum.sp.3
	Comptosia.sylvana
	Dolichopodidae
	Syrphus.sp.
	Helina.sp.A
	Prohardya.carinata
	Calliphora.stygia
	Calliphora.sp.
	Calliphora.sp.B
	Rutilia.sp.
	Unident.no.2

__________________________

Depth: 1

Nr of module: 9

Rownames: 

	Brachycome.sp.
	Helipterum.albicans
	Helipterum.anthemoides
	Olearia.phlogopappa
	Pentachondra.pumila

Colnames: 

	Anthoboscinae
	Tabanus.froggatti
	Villa.sp.
	Empis.sp.D
	Tephritis.sp.A
	Helina.sp.B
	Prosena.sp.C
	Scaptia.alpina
	Senostoma.sp.B
	Unident.no.1

__________________________

Depth: 1

Nr of module: 10

Rownames: 

	Aciphylla.glacialis
	Asperula.gunnii
	Epilobium.gunnianum
	Euphrasia.collina diversicolor
	Helichrysum.alpinum
	Leucopogon.montanus
	Neopaxia.australasica
	Stylidium.graminifolium

Colnames: 

	Megachile.sp.
	Euryinae.sp.2
	Euryinae.sp.3
	Therevidae
	Phytoliriomyza.sp.
	Poecilohetaerus.sp.
	Scaptomyza.australis
	Hydrellia.sp.
	Coenosia.sp.A
	Musca.vetustissima

__________________________

Depth: 1

