
Depth: 0

Nr of module: 1

Rownames: 

	Achillea.millefolium
	Aciphylla.glacialis
	Aciphylla.simplicifolia
	Asperula.gunnii
	Baeckia.gunniana
	Brachycome.scapiformis
	Brachycome.scapigera
	Brachycome.sp.
	Brachycome.stolonifera
	Celmisia.longifolia
	Craspedia.sp.
	Epacris.microphylla
	Epacris.paludosa
	Epacris.petrophila
	Epilobium.gunnianum
	Euphrasia.collina diversicolor
	Gentianella.diemensis
	Helichrysum.alpinum
	Helichrysum.scorpioides
	Helipterum.albicans
	Helipterum.anthemoides
	Hypochoeris.radicata
	Kunzea.muelleri
	Leptorhynchos.squamatus
	Leucopogon.montanus
	Microseris.lanceolata
	Neopaxia.australasica
	Olearia.phlogopappa
	Orites.lancifolia
	Oxylobium.ellipticum
	Pemelea.ligustrina
	Pentachondra.pumila
	Phebalium.ovatifolium
	Prasophyllum.alpinum
	Prostanthera.cuneata
	Richea.continentis
	Senecio.gunnii
	Senecio.lautus
	Senecio.pectinatus
	Stylidium.graminifolium
	Wahlenbergia.ceracea

Colnames: 

	Exoneura.sp
	Apis.mellifera
	Euryglossa.sp.
	Hylaeus.semipersonatus
	Hylaeus.sp.
	Hyphesma.sp.
	Leioproctus.sp.1
	Leioproctus.sp.2
	Leioproctus.sp.3
	Lasioglossum.sp.
	Lasioglossum.sp.1
	Lasioglossum.sp.2
	Lasioglossum.sp.3
	Lasioglossum.sp.4
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Lasioglossum.Parasphecodes.sp.2
	Lasioglossum.Parasphecodes.sp.3
	Megachile.sp.
	Euryinae.sp.1
	Euryinae.sp.2
	Euryinae.sp.3
	Anthoboscinae
	Dilophus.sp.
	Sciaridae
	Pelecorhychus.rubidus
	Tabanus.froggatti
	Stratiomyidae
	Therevidae
	Comptosia.sylvana
	Villa.sp.
	Empis.ap.B
	Empis.sp.C
	Empis.sp.D
	Empis.sp.E
	Empis.sp.F
	Dolichopodidae
	Diostracus.sp.1
	Eristalis.tenax
	Melangyna.sp.
	Syrphus.sp.
	Rivellia.sp.F
	Sphenella.marginata
	Tephritis.sp.A
	Tephritis.sp.B
	Phytoliriomyza.sp.
	Incurviseta.sp.D
	Incurviseta.sp.K
	Poecilohetaerus.sp.
	Sapromyza.sp.
	Tapeigaster.nigricornis
	Scaptomyza.australis
	Hydrellia.sp.
	Chloromerus.sp.
	Coenosia.sp.A
	Coenosia.sp.B
	Helina.sp.A
	Helina.sp.B
	Limnophora.sp.
	Musca.vetustissima
	Prohardya.carinata
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.stygia
	Calliphora.sp.
	Calliphora.sp.A
	Calliphora.sp.B
	Alophera.sp.
	Chaetophthalamus.dorsalis
	Prosena.sp.C
	Rutilia.sp.
	Scaptia.alpina
	Senostoma.sp.A
	Senostoma.sp.B
	Senostoma.sp.D
	Unident.no.1
	Unident.no.2
	Unident.no.3
	Unident.no.4
	Agrostis.infusa
	Hippotion.scofa
	Oreixenica.orichora

__________________________

__________________________

Depth: 1

Nr of module: 1

Rownames: 

	Orites.lancifolia

Colnames: 

	Hyphesma.sp.
	Leioproctus.sp.3
	Lasioglossum.sp.3
	Comptosia.sylvana
	Dolichopodidae
	Syrphus.sp.
	Helina.sp.A
	Prohardya.carinata
	Calliphora.stygia
	Calliphora.sp.
	Calliphora.sp.B
	Rutilia.sp.
	Unident.no.2

__________________________

Depth: 1

Nr of module: 2

Rownames: 

	Aciphylla.glacialis
	Asperula.gunnii
	Euphrasia.collina diversicolor
	Helichrysum.alpinum
	Neopaxia.australasica
	Olearia.phlogopappa
	Senecio.gunnii
	Stylidium.graminifolium

Colnames: 

	Megachile.sp.
	Euryinae.sp.2
	Euryinae.sp.3
	Therevidae
	Phytoliriomyza.sp.
	Poecilohetaerus.sp.
	Scaptomyza.australis
	Hydrellia.sp.
	Chloromerus.sp.
	Coenosia.sp.A

__________________________

Depth: 1

Nr of module: 3

Rownames: 

	Baeckia.gunniana
	Epacris.microphylla
	Helipterum.anthemoides
	Pentachondra.pumila

Colnames: 

	Hylaeus.sp.
	Tabanus.froggatti
	Villa.sp.
	Rivellia.sp.F
	Tapeigaster.nigricornis
	Coenosia.sp.B
	Helina.sp.B
	Senostoma.sp.B
	Senostoma.sp.D
	Unident.no.1
	Unident.no.4

__________________________

Depth: 1

Nr of module: 4

Rownames: 

	Celmisia.longifolia
	Epacris.petrophila
	Epilobium.gunnianum
	Hypochoeris.radicata
	Kunzea.muelleri
	Leucopogon.montanus
	Oxylobium.ellipticum
	Prostanthera.cuneata
	Richea.continentis

Colnames: 

	Exoneura.sp
	Euryglossa.sp.
	Leioproctus.sp.1
	Lasioglossum.sp.5
	Lasioglossum.sp.6
	Lasioglossum.Parasphecodes.sp.1
	Lasioglossum.Parasphecodes.sp.3
	Euryinae.sp.1
	Sciaridae
	Pelecorhychus.rubidus
	Stratiomyidae
	Empis.sp.E
	Incurviseta.sp.K
	Musca.vetustissima
	Chaetophthalamus.dorsalis

__________________________

Depth: 1

Nr of module: 5

Rownames: 

	Brachycome.scapigera
	Brachycome.stolonifera
	Helichrysum.scorpioides
	Helipterum.albicans
	Leptorhynchos.squamatus
	Phebalium.ovatifolium
	Senecio.lautus
	Senecio.pectinatus

Colnames: 

	Anthoboscinae
	Empis.sp.D
	Empis.sp.F
	Melangyna.sp.
	Tephritis.sp.B
	Incurviseta.sp.D
	Calliphora.fulvicoxa
	Calliphora.hilli
	Calliphora.sp.A
	Scaptia.alpina
	Oreixenica.orichora

__________________________

Depth: 1

Nr of module: 6

Rownames: 

	Brachycome.sp.
	Craspedia.sp.
	Pemelea.ligustrina
	Prasophyllum.alpinum

Colnames: 

	Apis.mellifera
	Lasioglossum.sp.4
	Empis.ap.B
	Diostracus.sp.1
	Eristalis.tenax
	Tephritis.sp.A
	Sapromyza.sp.
	Limnophora.sp.
	Alophera.sp.
	Prosena.sp.C
	Senostoma.sp.A
	Unident.no.3

__________________________

Depth: 1

Nr of module: 7

Rownames: 

	Achillea.millefolium
	Brachycome.scapiformis
	Gentianella.diemensis
	Microseris.lanceolata
	Wahlenbergia.ceracea

Colnames: 

	Hylaeus.semipersonatus
	Leioproctus.sp.2
	Lasioglossum.sp.
	Lasioglossum.sp.1
	Lasioglossum.sp.2
	Lasioglossum.Parasphecodes.sp.2
	Dilophus.sp.
	Empis.sp.C

__________________________

Depth: 1

Nr of module: 8

Rownames: 

	Aciphylla.simplicifolia

