
Depth: 0

Nr of module: 1

Rownames: 

	Aristotelia chilensis
	Alstroemeria aurea
	Schinus patagonicus
	Berberis darwinii
	Vicia nigricans
	Rosa eglanteria
	Cynanchum diemii
	Ribes magellanicum
	Mutisia decurrens
	Calceolaria crenatiflora

Colnames: 

	Policana albopilosa
	Bombus dahlbomii
	Ruizantheda mutabilis
	Bombus ruderatus
	Colletes seminitidus
	Syrphus octomaculatus
	Allograpta.Toxomerus
	Trichophthalma jaffueli
	Anthaxia
	Phthiria
	Platycheirus1
	Heterosarus
	Sapromyza.Minettia
	Camponotus
	Megachile2
	Chalepogenus caeruleus
	Vespula germanica
	Torymidae2
	Phthiria1
	Ruizantheda nigrocaerulea
	Chilicola2
	Sphecidae
	Thomisidae
	Platycherius fenestratus
	Scaeva melanostoma
	Diptera10
	Acroceridae
	Chilicola1
	Vespidae

__________________________

__________________________

Depth: 1

Nr of module: 1

Rownames: 

	Aristotelia chilensis

Colnames: 

	Policana albopilosa
	Ruizantheda mutabilis

__________________________

Depth: 1

Nr of module: 2

Rownames: 

	Alstroemeria aurea

Colnames: 

	Trichophthalma jaffueli
	Heterosarus
	Megachile2
	Vespula germanica
	Phthiria1
	Ruizantheda nigrocaerulea
	Chilicola2
	Sphecidae
	Thomisidae
	Acroceridae
	Chilicola1

__________________________

Depth: 1

Nr of module: 3

Rownames: 

	Schinus patagonicus

Colnames: 

	Allograpta.Toxomerus
	Camponotus
	Scaeva melanostoma
	Diptera10
	Vespidae

__________________________

Depth: 1

Nr of module: 4

Rownames: 

	Vicia nigricans

Colnames: 

	Bombus dahlbomii
	Bombus ruderatus

__________________________

Depth: 1

Nr of module: 5

Rownames: 

	Rosa eglanteria

Colnames: 

	Syrphus octomaculatus
	Phthiria
	Platycheirus1
	Sapromyza.Minettia
	Platycherius fenestratus

__________________________

Depth: 1

Nr of module: 6

Rownames: 

	Cynanchum diemii

Colnames: 

	Torymidae2

__________________________

Depth: 1

Nr of module: 7

Rownames: 

	Berberis darwinii
	Ribes magellanicum

Colnames: 

	Colletes seminitidus

__________________________

Depth: 1

Nr of module: 8

Rownames: 

	Mutisia decurrens

Colnames: 

	Anthaxia

__________________________

Depth: 1

Nr of module: 9

Rownames: 

	Calceolaria crenatiflora

Colnames: 

	Chalepogenus caeruleus

__________________________

__________________________

