"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Safariland",0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827
"barrett1987",0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.459787012800746,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.459787012800746,0.469970239162394,0.469970239162394,0.459787012800746,0.469970239162394,0.459787012800746,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.459787012800746,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394,0.469970239162394
"bezerra2009",0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995
"elberling1999",0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556
"inouye1988",0.350857652038316,0.350857652038316,0.337171419024282,0.337171419024282,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.337171419024282,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.337171419024282,0.337171419024282,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.337171419024282,0.337171419024282,0.337171419024282,0.337171419024282,0.350857652038316,0.337171419024282,0.337171419024282,0.337171419024282,0.337171419024282,0.337171419024282,0.337171419024282,0.350857652038316,0.337171419024282,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.334776676319893,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.337171419024282,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.337171419024282,0.337171419024282,0.350857652038316,0.334776676319893,0.337171419024282,0.337171419024282,0.337171419024282,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.337171419024282,0.350857652038316,0.337171419024282,0.350857652038316,0.350857652038316,0.350857652038316,0.350857652038316,0.337171419024282
"junker2013",0.43335554305834,0.429776517189104,0.43335554305834,0.429776517189105,0.429776517189104,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.429776517189105,0.429776517189105,0.429776517189104,0.43335554305834,0.429776517189105,0.429776517189105,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189105,0.429776517189104,0.429776517189105,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189105,0.429776517189105,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.429776517189105,0.429776517189105,0.429776517189105,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189105,0.43335554305834,0.429776517189104,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189104,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.43335554305834,0.429776517189105,0.43335554305834,0.43335554305834,0.429776517189105
"kato1990",0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543088867437275,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543088867437275,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049,0.543893302971049
"kevan1970",0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.330528846153846,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.330528846153846,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.330528846153846,0.339661406969099,0.339661406969099,0.339661406969099,0.330528846153846,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.330528846153846,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099,0.340966058514135,0.339661406969099,0.339661406969099,0.339661406969099,0.339661406969099
"memmott1999",0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752955,0.264493685752956,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.255030704354537,0.267592085099719,0.267592085099719,0.255030704354537,0.264493685752956,0.267592085099719,0.264493685752956,0.264493685752956,0.264493685752956,0.267592085099719,0.264493685752956,0.264493685752956,0.264493685752956,0.255030704354537,0.264493685752955,0.255030704354537,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752955,0.267592085099719,0.267592085099719,0.264493685752956,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752956,0.267592085099719,0.267592085099719,0.254941219896869,0.254941219896869,0.267592085099719,0.264493685752956,0.264493685752956,0.267592085099719,0.267592085099719,0.267592085099719,0.255030704354537,0.255030704354537,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752956,0.267592085099719,0.254941219896869,0.267592085099719,0.267592085099719,0.254941219896869,0.267592085099719,0.259337143879822,0.267592085099719,0.264493685752955,0.255030704354537,0.255030704354537,0.267592085099719,0.267592085099719,0.264493685752956,0.267592085099719,0.254941219896869,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752955,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752956,0.254941219896869,0.267592085099719,0.255030704354537,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.264493685752955,0.254941219896869,0.267592085099719,0.267592085099719,0.255030704354537,0.255030704354537,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719,0.267592085099719
"mosquin1967",0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017
"motten1982",0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428
"olesen2002aigrettes",0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.287352071005917,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.294008875739645,0.313609467455621,0.294008875739645,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.294008875739645,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.294008875739645,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621,0.313609467455621
"olesen2002flores",0.422222222222222,0.385555555555556,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.385555555555556,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.385555555555556,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.385555555555556,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222,0.385555555555556,0.422222222222222,0.422222222222222,0.422222222222222,0.422222222222222
