"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Safariland",0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.550953,0.550953,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.550953,0.557528,0.557528,0.557528,0.550953,0.557528,0.550953,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.550953,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.550953,0.557528,0.550953,0.557528,0.557528,0.550953,0.557528,0.557528,0.557528,0.557528,0.550953,0.557528,0.557528,0.557528,0.550953,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528,0.557528
"barrett1987",0.034243,0.073291,0.053068,0.121625,0.011904,0.121625,0.16096,0.011904,0.055326,0.073506,0.15931,0.095952,0.044354,0.022912,0.076518,0.023271,0.033454,0.032486,0.199039,0.11094,0.14823,0.19574,0.064111,0.060956,0.07096,0.152999,0.051382,0.011904,0.011904,0.145398,0.121625,0.16096,0.032486,0.052064,0.110043,0.034243,0.245652,0.053713,0.093263,0.042848,0.102765,0.011904,0.011904,0.11094,0.011904,0.121625,0.011904,0.033454,0.076518,0.083581,0.011904,0.011904,0.093155,0.121625,0.022912,0.273083,0.022912,0.011904,0.052315,0.19574,0.070709,0.205565,0.052028,0.100362,0.285704,0.205565,0.011904,0.155115,0.081681,0.15092,0.011904,0.034243,0.135752,0.093155,0.121625,0.011904,0.071856,0.121625,0.060956,0.076518,0.102765,0.06239,0.1857,0.091792,0.141669,0.076518,0.162788,0.121625,0.062928,0.101259,0.061422,0.072394,0.033454,0.081681,0.089677,0.15888,0.121625,0.083259,0.121625,0.121625
"bezerra2009",0.227733,0.230113,0.230113,0.230113,0.230113,0.227336,0.230113,0.227733,0.230113,0.230113,0.223963,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.223963,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.227733,0.230113,0.230113,0.227336,0.227733,0.230113,0.227336,0.230113,0.230113,0.230113,0.227733,0.230113,0.230113,0.227336,0.230113,0.230113,0.227733,0.230113,0.230113,0.230113,0.230113,0.227733,0.230113,0.227336,0.227336,0.230113,0.230113,0.230113,0.227733,0.227733,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.221385,0.230113,0.230113,0.230113,0.230113,0.230113,0.227733,0.227733,0.230113,0.230113,0.230113,0.230113,0.230113,0.227336,0.230113,0.230113,0.230113,0.230113,0.230113,0.230113,0.227733,0.223963,0.230113,0.230113,0.227733,0.230113,0.230113,0.230113,0.227733,0.227336,0.230113,0.230113,0.230113,0.230113,0.227733,0.230113
"elberling1999",0.008333,0.008121,0.053174,0.046413,0.048814,NA,0.16007,0.078384,0.220465,0.073953,0.228462,0.073724,0.14321,0.076036,0.199968,0.20417,0.114805,0.1463,0.135301,0.192924,0.225708,0.110886,0.084969,0.118936,0.008262,0.06758,0.167414,0.151102,0.161253,0.205159,0.209484,0.201539,0.218329,0.19649,0.104406,NA,0.083169,0.212185,0.235665,0.007768,0.030083,0.161376,0.007874,0.223766,0.129546,0.142857,0.199174,0.173946,0.094538,0.008333,0.031195,0.173505,0.093637,0.049184,0.119766,0.078137,0.250459,0.159929,0.18016,0.262817,0.092878,NA,0.039581,0.20018,0.203958,0.104883,0.121107,0.008333,NA,0.016065,0.221471,0.166514,0.127021,0.198874,0.123561,0.070828,0.207683,0.073653,0.078843,0.008333,0.016101,0.199968,0.31073,0.189429,0.342119,0.226467,0.020761,0.014512,0.191671,0.224154,0.198768,0.268678,NA,0.044029,0.181679,0.226361,0.084369,0.204099,0.345685,0.231675
"inouye1988",0.408206,0.339316,0.399602,0.407691,0.371798,0.405296,0.379887,0.395411,0.413037,0.400395,0.397667,0.40467,0.33454,0.34714,0.403765,0.400757,0.401676,0.356594,0.403124,0.403695,0.377506,0.410949,0.355745,0.418328,0.374596,0.429021,0.410698,0.405046,0.380527,0.396455,0.367384,0.394757,0.418955,0.373134,0.380054,0.39988,0.346792,0.390385,0.381948,0.404879,0.410949,0.397527,0.403138,0.399671,0.402317,0.371993,0.370266,0.405839,0.391234,0.414499,0.366075,0.409543,0.37855,0.376476,0.396567,0.396664,0.385637,0.38611,0.409097,0.403055,0.397527,0.392404,0.394687,0.403988,0.400006,0.394645,0.394701,0.41035,0.394005,0.369319,0.36336,0.362107,0.399852,0.423883,0.383493,0.345219,0.350621,0.414527,0.390023,0.355842,0.415725,0.392139,0.386097,0.390719,0.402665,0.396065,0.409877,0.401565,0.346305,0.405436,0.384788,0.390092,0.373315,0.41003,0.379957,0.374722,0.348922,0.376782,0.389118,0.332354
"junker2013",0.027263,0.013903,0.013903,0.013903,0.010447,0.033874,0.031019,0.024442,0.013903,0.028097,0.010447,0.024225,0.016764,0.024222,0.013903,0.106081,0.024222,0.020606,0.02358,0.013861,0.028088,0.02557,0.022593,0.030313,0.030665,0.045494,0.013861,0.027043,0.0167,0.029091,0.030215,0.013751,0.033623,0.032245,0.026468,0.046824,0.040072,0.02759,0.020267,0.044403,0.013751,0.017302,0.013903,0.020414,0.020799,0.013873,0.013903,0.013903,0.03101,0.044189,0.010447,0.013903,0.088119,0.055855,0.023556,0.063921,0.010447,0.024204,0.013903,0.020493,0.020646,0.037905,0.010447,0.023999,0.0241,0.022938,0.010447,0.027364,0.010447,0.013903,0.013858,0.05934,0.020573,0.010447,0.017345,0.013812,0.038975,0.08759,0.02354,0.020545,0.013903,0.013903,0.017357,0.013903,0.013903,0.010447,0.130477,0.060064,0.033269,0.062136,0.010447,0.010447,0.036246,0.039678,0.053496,0.016697,0.026982,0.09182,0.032868,0.027602
"kato1990",0.003306,0.006548,0.012731,0.008102,0.008077,0.003306,0.008056,0.003311,0.001657,0.008211,0.004948,0.001657,0.003311,0.008153,0.004959,0.008144,0.001657,0.004941,0.008125,0.003306,0.001657,0.012748,0.00809,0.017588,0.001657,0.009646,0.001657,0.011376,0.015926,0.006473,0.003311,0.006498,0.006533,0.001657,0.0033,0.003311,0.001657,0.004891,0.012905,0.001657,0.001657,0.012656,0.003292,0.004947,0.003298,0.008197,0.001657,0.003308,0.012815,0.011092,0.023127,0.0131,0.034808,0.012954,0.009625,0.011201,0.013035,0.0033,0.013066,0.008113,0.001657,0.009626,0.011467,0.00495,0.001657,0.008127,0.004953,0.001657,0.006526,0.014562,0.003311,0.004948,0.003311,0.003308,0.001657,0.001657,0.001657,0.0033,0.012795,0.008077,0.003308,0.008082,0.014217,0.008038,0.020717,0.004875,0.008227,0.014727,0.001657,0.008151,0.00491,0.001657,0.006592,0.003304,0.006574,0.004872,0.001657,0.008208,0.006447,0.006601
"kevan1970",0.309531,0.27371,0.31173,0.265502,0.298745,0.348948,0.360495,0.283315,0.299926,0.32004,0.310918,0.316178,0.362703,0.274593,0.364686,0.285821,0.289335,0.371631,0.346164,0.203115,0.331135,0.265604,0.31776,0.311442,0.295355,0.316825,0.189698,0.360659,0.30047,0.360207,0.273689,0.358974,0.351681,0.31438,0.360659,0.361245,0.30574,0.310774,0.362426,0.283551,0.360823,0.318027,0.275168,0.306593,0.311945,0.27749,0.36444,0.36444,0.314524,0.362631,0.28011,0.364398,0.309459,0.364398,0.301744,0.29894,0.357023,0.301323,0.315202,0.301857,0.187212,0.266375,0.250349,0.362344,0.302874,0.253164,0.304847,0.285801,0.313558,0.295159,0.279442,0.299834,0.319681,0.312438,0.267217,0.355492,0.28766,0.310579,0.388108,NA,0.387903,0.203372,0.313322,0.329532,0.340976,0.179241,0.25301,0.354465,0.318078,0.367511,0.368076,0.350397,0.312685,0.362714,0.202724,0.311791,0.314863,0.302874,0.297861,0.30687
"memmott1999",0.293263,0.304158,0.307088,0.331025,0.288856,0.30418,0.285086,0.304504,0.296977,0.247592,0.284482,0.296238,0.283487,0.257603,0.285511,0.310724,0.32107,0.264415,0.287189,0.289918,0.290455,0.309393,0.282256,0.327133,0.285411,0.29163,0.278397,0.263476,0.288856,0.282256,0.277189,0.300713,0.312905,0.282256,0.294124,0.306227,0.26804,0.288755,0.257603,0.282256,0.263476,0.280075,0.306428,0.267995,0.27984,0.298498,0.288185,0.263006,0.277212,0.306428,0.288386,0.304281,0.279315,0.284203,0.312502,0.291988,0.288945,0.309359,0.332625,0.307055,0.242469,0.32097,0.290455,0.290455,0.309426,0.301451,0.306428,0.319314,0.291988,0.310813,0.27984,0.303363,0.289012,0.282458,0.289818,0.281261,0.285086,0.323084,0.296115,0.282614,0.319057,0.29739,0.257525,0.28833,0.255937,0.278834,0.265377,0.323084,0.288185,0.314079,0.309046,0.294415,0.272301,0.279639,0.295176,0.316383,0.291988,0.280735,0.288789,0.295802
"mosquin1967",0.478532,0.478532,0.478532,0.463296,0.463296,0.446676,0.478532,0.478532,0.463296,0.478532,0.478532,0.478532,0.478532,0.478532,0.463296,0.457756,0.454294,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.463296,0.478532,0.454294,0.478532,0.478532,0.478532,0.454294,0.463296,0.478532,0.478532,0.478532,0.478532,0.463296,0.454294,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.454294,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.478532,0.463296,0.463296,0.478532,0.463296,0.478532,0.450139,0.463296,0.478532,0.478532,0.446676,0.478532,0.478532,0.478532,0.463296,0.478532,0.478532,0.478532,0.478532,0.454294,0.478532,0.478532,0.463296,0.463296,0.463296,0.478532,0.478532,0.463296,0.463296,0.454294,0.450139,0.478532,0.463296,0.478532,0.478532,0.478532,0.463296,0.463296,0.478532,0.478532,0.478532,0.463296,0.478532,0.457756,0.457756,0.463296
