"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Safariland",0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711
"barrett1987",0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455
"bezerra2009",0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366
"elberling1999",0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568
"inouye1988",0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453
"junker2013",0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779
"kato1990",0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745
"kevan1970",0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224
"memmott1999",0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603
"mosquin1967",0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887
