"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"Safariland",0.43041,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.429739,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.43041,0.43041,0.429739,0.43041,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.43041,0.43041,0.43041,0.43041,0.429739,0.43041,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.429739,0.43041,0.43041,0.43041,0.429739,0.429739,0.429739,0.429739,0.429739,0.429739,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.43041,0.429739,0.43041,0.429739,0.429739,0.429739,0.43041,0.43041,0.43041,0.429739
"barrett1987",0.37275,0.220648,0.010621,0.252099,0.00363,0.014274,0.196317,0.229812,0.204803,0.019577,0.00363,0.029164,0.00363,0.039385,0.221864,0.220648,0.00363,0.214023,0.00363,0.03994,0.20639,0.220648,0.022797,0.210549,0.026235,0.482248,0.007104,0.014274,0.007104,0.038268,0.090516,0.16846,0.220347,0.009521,0.014274,0.017656,0.240235,0.048648,0.024681,0.046076,0.391111,0.220648,0.00363,0.220648,0.221864,0.391111,0.229812,0.240625,0.00363,0.206595,0.00363,0.240235,0.048208,0.220648,0.263385,0.221864,0.026235,0.174261,0.00363,0.018132,0.285326,0.220648,0.204803,0.00363,0.204803,0.240529,0.204803,0.019577,0.019577,0.220648,0.019577,0.019577,0.048648,0.00363,0.01921,0.037825,0.026231,0.00363,0.229812,0.019577,0.00363,0.212463,0.00363,0.017855,0.038268,0.213722,0.371567,0.00363,0.20639,0.220648,0.00363,0.220648,0.08284,0.026684,0.00363,0.026235,0.196317,0.00363,0.019577,0.240235
"bezerra2009",0.22065,0.215309,0.222171,0.222171,0.223,0.22065,0.215309,0.223,0.215309,0.222171,0.223,0.222171,0.222171,0.222171,0.22065,0.222171,0.22065,0.222171,0.222171,0.22065,0.215309,0.215309,0.223,0.22065,0.22065,0.223,0.223,0.222171,0.22065,0.22065,0.222171,0.215309,0.222171,0.22065,0.223,0.215309,0.215309,0.222171,0.222171,0.215309,0.22065,0.22065,0.215309,0.222171,0.22065,0.22065,0.215309,0.222171,0.222171,0.223,0.222171,0.22065,0.223,0.222171,0.222171,0.223,0.22065,0.222171,0.215309,0.22065,0.223,0.22065,0.223,0.222171,0.222171,0.223,0.22065,0.223,0.222171,0.222171,0.223,0.215309,0.222171,0.222171,0.215309,0.223,0.215309,0.222171,0.215309,0.222171,0.22065,0.22065,0.223,0.222171,0.22065,0.222171,0.223,0.22065,0.223,0.22065,0.22065,0.222171,0.223,0.223,0.222171,0.222171,0.223,0.222171,0.22065,0.215309
"elberling1999",0.140433,0.182904,0.005181,0.230419,0.258424,0.06055,0.056596,0.133841,0.13245,0.097949,0.005181,0.089775,0.182311,0.163305,0.19769,0.152868,0.161559,0.083769,0.14316,0.12005,0.153229,0.223384,0.136568,NA,0.218394,0.12429,0.1516,0.162868,0.032811,0.103443,0.082562,0.079938,0.138933,0.015979,0.186265,0.075588,0.147284,0.224039,0.023553,0.108563,0.131925,0.127358,0.130282,0.092931,0.097949,0.022101,0.164525,0.039069,0.234223,0.028509,0.131632,0.153174,0.19994,0.159917,0.00998,0.199102,0.192925,0.179645,0.16293,0.106211,0.152418,0.051231,0.128605,0.186265,0.005181,0.139888,0.040187,0.103198,0.182638,0.180879,0.004895,0.1323,0.165473,0.175576,NA,0.161873,0.179652,0.194895,NA,0.049867,0.238607,0.046445,0.157421,0.176966,0.167306,0.041775,0.063154,0.155138,0.269523,0.110813,0.027814,0.055587,0.046302,0.081697,0.258479,0.088139,0.149534,0.1489,0.072173,0.070005
"inouye1988",0.515251,0.446216,0.385109,0.432468,0.469013,0.434846,0.50593,0.517466,0.393558,0.353235,0.425652,0.497542,0.467523,0.532132,0.527002,0.561794,0.481887,0.49652,0.49279,0.517761,0.500443,0.492116,0.448858,0.344258,0.403457,0.518855,0.509471,0.564916,0.492401,0.361949,0.447588,0.481457,0.403158,0.488715,0.492335,0.405758,0.44333,0.491056,0.59783,0.563675,0.480712,0.336981,0.479769,0.536651,0.47196,0.532343,0.497717,0.499952,0.408817,0.46557,0.427347,0.260468,0.517096,0.426655,0.487044,0.472778,0.488241,0.437963,0.508468,0.353491,0.408242,0.379954,0.475393,0.56451,0.494711,0.494845,0.478373,0.503306,0.512995,0.49879,0.327356,0.302213,0.396455,0.367696,0.49279,0.41808,0.426878,0.486996,0.393597,0.434941,0.484381,0.430318,0.457338,0.433868,0.504914,0.53926,0.510004,0.545564,0.517779,0.481254,0.118247,0.443602,0.335871,0.518356,0.458067,0.5018,0.508052,0.362087,0.452137,0.559722
"junker2013",0.003258,0.012648,0.028935,0.005882,0.031028,0.010888,0.00523,0.005801,0.002618,0.009666,0.006384,0.005563,0.006533,0.010924,0.008037,0.108904,0.005838,0.003745,0.002618,0.002618,0.005103,0.02582,0.004577,0.002618,0.005884,0.02735,0.016517,0.005642,0.003924,0.010347,0.009228,0.003228,0.004553,0.005882,0.014764,0.027326,0.008279,0.013409,0.012465,0.038248,0.076066,0.045834,0.002618,0.009634,0.006117,0.01237,0.003271,0.013246,0.011316,0.002618,0.029636,0.009699,0.055429,0.019933,0.067641,0.0083,0.002618,0.003265,0.007171,0.033328,0.003271,0.021614,0.005778,0.00521,0.013319,0.005803,0.070754,0.009462,0.030702,0.00448,0.015202,0.002618,0.002618,0.004461,0.012364,0.007676,0.007595,0.005841,0.002618,0.003921,0.007156,0.003271,0.004555,0.029568,0.012386,0.005882,0.003875,0.007767,0.002618,0.008331,0.142996,0.02605,0.008168,0.006303,0.006255,0.038834,0.002618,0.014357,0.00976,0.014348
"kato1990",0.004979,0.004134,0.004159,0.019815,0.000836,0.000836,0.001655,0.002491,0.010544,0.00732,0.020303,0.020276,0.00662,0.000836,0.00497,0.00495,0.00415,0.002485,0.001666,0.007918,0.006567,0.026079,0.000836,0.008082,0.006548,0.011466,0.000836,0.002452,0.00713,0.019547,0.006646,0.00167,0.002498,0.00166,0.000836,0.00414,0.000836,0.029256,0.000836,0.001669,0.008141,0.00414,0.012952,0.009096,0.00167,0.000836,0.003276,0.000836,0.007932,0.010639,0.018194,0.000836,0.005807,0.00167,0.002501,0.018728,0.004993,0.000836,0.006527,0.005471,0.007963,0.00167,0.00167,0.00248,0.008191,0.004919,0.01499,0.023381,0.004134,0.007918,0.00248,0.002492,0.000836,0.004009,0.003315,0.006645,0.003253,0.003217,0.009845,0.004164,0.021825,0.001666,0.004146,0.003185,0.001666,0.012349,0.030268,0.0025,0.00167,0.002498,0.006503,0.00167,0.01275,0.000836,0.001669,0.01807,0.009578,0.060691,0.000836,0.002493
"kevan1970",0.245634,0.252178,0.23239,0.221747,0.260199,0.241524,0.252363,0.223427,0.209879,0.228851,0.240055,0.256059,0.289,0.231461,0.266994,0.254165,0.260601,0.251654,0.259999,0.267129,0.245383,0.224669,0.284818,0.210819,0.251857,0.232194,0.261938,0.248329,0.28412,0.256504,0.122596,0.22688,0.236137,0.233004,0.246774,0.231368,0.240417,0.260877,0.238839,0.227974,0.236651,0.265276,0.22266,0.206758,0.260052,0.232549,0.241245,0.225065,0.251808,0.23668,0.226105,0.252363,0.220171,0.227176,0.250837,0.241167,0.21936,0.267504,0.252156,0.214585,0.192195,0.267138,0.284546,0.258735,0.375206,0.240546,0.247719,0.25853,0.23177,0.233465,0.283836,0.234474,0.157541,0.251792,0.267368,0.006978,0.260425,0.219632,0.130548,0.26187,0.230771,0.144878,0.240968,0.238059,0.256837,0.267247,0.216682,0.221496,0.267129,0.213062,0.246566,0.241645,0.248329,0.146886,0.313223,0.241355,0.235983,0.138955,0.214738,0.241397
"memmott1999",0.126925,0.128308,0.125645,0.109736,0.129721,0.15331,0.111053,0.129221,0.097753,0.15314,0.248592,0.118681,0.136783,0.110849,0.106914,0.111423,0.109614,0.132146,0.10363,0.101217,0.13361,0.096538,0.149354,0.146934,0.119169,0.151508,0.115749,0.149015,0.113522,0.100886,0.110154,0.13525,0.13361,0.108853,0.131486,0.111053,0.111756,0.120556,0.110693,0.10363,0.120363,0.14701,0.111053,0.168041,0.120749,0.109614,0.13525,0.121165,0.130383,0.134405,0.130383,0.129721,0.106162,0.121768,0.125259,0.15358,0.129718,0.164207,0.110278,0.118366,0.156361,0.138212,0.13525,0.112196,0.116923,0.080783,0.112777,0.12596,0.138839,0.135546,0.129075,0.113657,0.143779,0.112777,0.097665,0.1424,0.130383,0.122797,0.126458,0.139471,0.150179,0.077279,0.110583,0.128219,0.113494,0.130544,0.151215,0.071442,0.113522,0.143703,0.123991,0.113522,0.153216,0.113657,0.104702,0.1122,0.095586,0.12909,0.132473,0.110154
"mosquin1967",0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.43072,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.43072,0.43072,0.443807,0.43072,0.43072,0.43072,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.43072,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.43072,0.443807,0.443807,0.43072,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.43072,0.443807,0.443807,0.43072,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.43072,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807,0.443807
