"","AVG_time_BL","MIN_QW_BL","MAX_QW_BL","MEAN_QW_BL","MEDIAN_QW_BL","NUMFAIL_BL","NUMMAX_BL","MODULES_BL","UniqueConfigs_BL","QR_BL"
"Safariland",0.0136999999999981,0.518737672583827,0.518737672583827,0.518737672583827,0.518737672583827,0,100,9,2,0.384615384615385
"barrett1987",0.0698799999999869,0.459787012800746,0.469970239162394,0.469766574635161,0.469970239162394,0,98,11,1,0.245508982035928
"bezerra2009",0.00785000000001674,0.218012299146995,0.218012299146995,0.218012299146995,0.218012299146995,0,100,5,1,-0.0985915492957746
"elberling1999",0.382300000000028,0.458142080361556,0.458142080361556,0.458142080361556,0.458142080361556,0,100,22,2,0.00840336134453779
"inouye1988",0.709660000000049,0.337171419024282,0.350857652038316,0.344151397861439,0.350857652038316,0,51,31,1,-0.17910447761194
"junker2013",2.76212000000007,0.429776517189104,0.43335554305834,0.431351288571568,0.429776517189105,0,44,55,27,-0.0909090909090909
"kato1990",14.1959299999988,0.543088867437275,0.543893302971049,0.543828948128347,0.543893302971049,0,92,74,85,0.154228855721393
"kevan1970",0.278690000000643,0.330528846153846,0.340966058514135,0.339100406804733,0.339661406969099,0,6,23,4,-0.205128205128205
"memmott1999",0.151160000000009,0.254941219896869,0.267592085099719,0.264356438966007,0.267592085099719,0,57,19,8,-0.344481605351171
"mosquin1967",0.0139199999999983,0.393351800554017,0.393351800554017,0.393351800554017,0.393351800554017,0,100,11,1,-0.0526315789473685
"motten1982",0.0320199999999386,0.281431854858428,0.281431854858428,0.281431854858428,0.281431854858428,0,100,10,1,-0.258741258741259
"olesen2002aigrettes",0.0112800000000334,0.287352071005917,0.313609467455621,0.313150887573964,0.313609467455621,0,98,7,1,0
"olesen2002flores",0.00825999999999113,0.385555555555556,0.422222222222222,0.421488888888889,0.422222222222222,0,98,7,2,0.133333333333333
"ollerton2003",0.025589999999911,0.417569987746253,0.438684136110849,0.426649071543029,0.417569987746253,0,43,8,1,0.16504854368932
"schemske1978",0.00942000000003646,0.369721344441252,0.369721344441252,0.369721344441252,0.369721344441252,0,100,6,1,0.11864406779661
"small1976",0.0211799999999585,0.242291635229616,0.242291635229616,0.242291635229616,0.242291635229616,0,100,8,1,-0.234042553191489
"vazarr",0.0156399999999303,0.512168739859383,0.512168739859383,0.512168739859383,0.512168739859383,0,100,9,1,0.395348837209302
"vazcer",0.0151899999999478,0.565432098765432,0.565432098765432,0.565432098765432,0.565432098765432,0,100,9,1,0.466666666666667
"vazllao",0.0162500000000182,0.529478458049887,0.549886621315193,0.546213151927438,0.549886621315193,0,82,8,2,0.523809523809524
"vazmasc",0.010730000000076,0.522376543209877,0.522376543209877,0.522376543209877,0.522376543209877,0,100,8,1,0.444444444444444
"vazmasnc",0.0137799999998788,0.512495194156094,0.512495194156094,0.512495194156094,0.512495194156094,0,100,8,2,0.372549019607843
"vazquec",0.0126500000000487,0.47351742870077,0.47351742870077,0.47351742870077,0.47351742870077,0,100,7,1,0.234042553191489
"vazquenc",0.00867000000003827,0.514047866805411,0.514047866805411,0.514047866805411,0.514047866805411,0,100,7,1,0.548387096774194
