"","AVG_time_BQ","MIN_QW_BQ","MAX_QW_BQ","MEAN_QW_BQ","MEDIAN_QW_BQ","NUMFAIL_BQ","NUMMAX_BQ","MODULES_BQ","UniqueConfigs_BQ","QR_BQ"
"Safariland",1.06689,0.550953,0.557528,0.55680475,0.557528,0,89,6,1,0.538461538461539
"barrett1987",11.81104,0.011904,0.285704,0.08884289,0.076518,0,1,4,1,0.592814371257485
"bezerra2009",1.10626000000001,0.221385,0.230113,0.22926206,0.230113,0,73,3,1,0.154929577464789
"elberling1999",24.47046,0.007768,0.345685,0.1382972,0.14321,5,1,6,1,0.310924369747899
"inouye1988",18.53175,0.332354,0.429021,0.38913745,0.394729,0,1,9,1,0.238805970149254
"junker2013",46.0763900000001,0.010447,0.130477,0.02825302,0.023548,0,1,5,1,0.618881118881119
"kato1990",1551.82723,0.001657,0.034808,0.00702316,0.00646,0,1,5,1,0.945273631840796
"kevan1970",29.3030999999947,0.179241,0.388108,0.311114080808081,0.31173,1,1,6,1,0.275641025641026
"memmott1999",10.59796,0.242469,0.332625,0.29150991,0.289868,0,1,5,1,0.123745819397993
"mosquin1967",0.915709999999981,0.446676,0.478532,0.47165516,0.478532,0,64,6,1,0.368421052631579
"motten1982",2.76315,0.289403,0.312534,0.3036502,0.303927,0,6,6,1,-0.048951048951049
"olesen2002aigrettes",1.14889999999996,0.306583,0.340237,0.33206757,0.33358,0,19,4,1,0.269230769230769
"olesen2002flores",0.948869999999952,0.422222,0.444444,0.4379331,0.441111,0,24,4,1,0.466666666666667
"ollerton2003",5.33429,0.018286,0.444622,0.27777318556701,0.301819,3,1,6,1,0.223300970873786
"schemske1978",1.86923000000005,0.284114,0.369721,0.32948571,0.369721,0,53,6,1,0.11864406779661
"small1976",1.80337000000011,0.232483,0.266435,0.25461241,0.255671,0,9,5,1,0.00709219858156018
"vazarr",1.43115999999995,0.541915,0.541915,0.541915,0.541915,0,100,7,1,0.534883720930233
"vazcer",1.99988999999998,0.256296,0.618765,0.48639996,0.546667,0,28,6,1,0.644444444444444
"vazllao",1.12923000000019,0.575964,0.575964,0.575964,0.575964,0,100,6,1,0.619047619047619
"vazmasc",1.34023000000001,0.547068,0.547068,0.547068,0.547068,0,100,6,2,0.555555555555556
"vazmasnc",1.96860999999995,0.307574,0.527489,0.49721664,0.525952,0,14,6,1,0.450980392156863
"vazquec",1.52925999999987,0.361249,0.496605,0.48048008,0.488004,0,26,4,1,0.531914893617021
"vazquenc",0.834240000000063,0.549428,0.549428,0.549428,0.549428,0,100,5,1,0.67741935483871
