"","AVG_time_QL","MIN_QW_QL","MAX_QW_QL","MEAN_QW_QL","MEDIAN_QW_QL","NUMFAIL_QL","NUMMAX_QL","MODULES_QL","UniqueConfigs_QL","QR_QL"
"Safariland",0.0141900000000013,0.427314590022711,0.427314590022711,0.427314590022711,0.427314590022711,0,100,7,1,0.96283185840708
"barrett1987",0.056519999999997,0.566945454545455,0.566945454545455,0.566945454545455,0.566945454545455,0,100,9,1,0.56
"bezerra2009",0.00758000000001175,0.222999812642366,0.222999812642366,0.222999812642366,0.222999812642366,0,100,5,1,-0.139172335600907
"elberling1999",0.190199999999994,0.493302156262568,0.493302156262568,0.493302156262568,0.493302156262568,0,100,18,4,0.180156657963446
"inouye1988",0.412689999999975,0.581869711807453,0.581869711807453,0.581869711807453,0.581869711807453,0,100,22,1,0.406442769019877
"junker2013",1.13295999999997,0.533449296085779,0.533449296085779,0.533449296085779,0.533449296085779,0,100,33,1,0.452341958729119
"kato1990",6.00003000000117,0.611279865437745,0.611279865437745,0.611279865437745,0.611279865437745,0,100,48,1,0.354515050167224
"kevan1970",0.0964599999994971,0.525114252091224,0.525114252091224,0.525114252091224,0.525114252091224,0,100,10,1,0.58303606817281
"memmott1999",0.0653100000000086,0.297271276882603,0.297271276882603,0.297271276882603,0.297271276882603,0,100,10,1,0.132386623912048
"mosquin1967",0.0088799999999992,0.440242815771887,0.440242815771887,0.440242815771887,0.440242815771887,0,100,7,1,0.402985074626866
"motten1982",0.0204199999999674,0.366924176240374,0.366924176240374,0.366924176240374,0.366924176240374,0,100,6,1,0.211685393258427
"olesen2002aigrettes",0.00788999999998851,0.259435976036505,0.259435976036505,0.259435976036505,0.259435976036505,0,100,5,1,0.148148148148148
"olesen2002flores",0.00617999999999484,0.496934837253078,0.496934837253078,0.496934837253078,0.496934837253078,0,100,5,1,0.402985074626866
"ollerton2003",0.0235499999999956,0.394715958689022,0.394715958689022,0.394715958689022,0.394715958689022,0,100,7,1,0.430976430976431
"schemske1978",0.00899000000000342,0.319940492835651,0.319940492835651,0.319940492835651,0.319940492835651,0,100,4,1,0.377926421404682
"small1976",0.0261199999999462,0.51594002016129,0.51594002016129,0.51594002016129,0.51594002016129,0,100,11,1,0.26008064516129
"vazarr",0.0137699999999859,0.440882269770949,0.440882269770949,0.440882269770949,0.440882269770949,0,100,7,1,0.448543689320388
"vazcer",0.0145199999999386,0.591437824833874,0.591437824833874,0.591437824833874,0.591437824833874,0,100,7,1,0.830342577487765
"vazllao",0.0127899999999863,0.558406734027304,0.558406734027304,0.558406734027304,0.558406734027304,0,100,8,1,0.586410635155096
"vazmasc",0.00978999999995723,0.654897550002445,0.654897550002445,0.654897550002445,0.654897550002445,0,100,7,1,0.727272727272727
"vazmasnc",0.0120299999999952,0.400136567361948,0.400136567361948,0.400136567361948,0.400136567361948,0,100,7,1,0.496522948539638
"vazquec",0.0129100000001745,0.504248653214025,0.504248653214025,0.504248653214025,0.504248653214025,0,100,7,1,0.543918918918919
"vazquenc",0.00723999999994703,0.450468900281634,0.450468900281634,0.450468900281634,0.450468900281634,0,100,4,1,0.963206307490144
