"","AVG_time_QQ","MIN_QW_QQ","MAX_QW_QQ","MEAN_QW_QQ","MEDIAN_QW_QQ","NUMFAIL_QQ","NUMMAX_QQ","MODULES_QQ","UniqueConfigs_QQ","QR_QQ"
"Safariland",1.19271,0.429739,0.43041,0.43024225,0.43041,0,75,5,1,0.978761061946903
"barrett1987",8.89804000000001,0.00363,0.482248,0.11937298,0.047142,0,1,4,1,0.843636363636364
"bezerra2009",1.68995999999999,0.215309,0.223,0.22079138,0.222171,0,22,5,1,-0.139172335600907
"elberling1999",25.36723,0.004895,0.269523,0.125905494845361,0.133841,3,1,6,1,0.436031331592689
"inouye1988",22.5434899999998,0.118247,0.59783,0.46016086,0.480983,0,1,9,1,0.588759424263194
"junker2013",91.5336799999998,0.002618,0.142996,0.01532797,0.0077215,0,1,6,1,0.597117589256469
"kato1990",2210.3503,0.000836,0.060691,0.00710055,0.004143,0,1,5,1,0.896321070234114
"kevan1970",33.67419,0.006978,0.375206,0.23691494,0.241206,0,1,3,1,0.559254855330955
"memmott1999",13.26118,0.071442,0.248592,0.12475542,0.123394,0,1,5,1,0.407237746220797
"mosquin1967",0.935480000000116,0.43072,0.443807,0.44027351,0.443807,0,73,6,1,0.477611940298508
"motten1982",3.03813000000015,0.318807,0.381878,0.35875052,0.354205,0,12,4,1,0.354606741573034
"olesen2002aigrettes",1.08291000000014,0.253494,0.259436,0.25890122,0.259436,0,91,5,1,0.148148148148148
"olesen2002flores",0.938159999999934,0.465774,0.496935,0.48820992,0.496935,0,72,5,1,0.402985074626866
"ollerton2003",5.87947000000007,0.012788,0.412687,0.15086924,0.15327,0,1,6,1,0.498316498316498
"schemske1978",2.25969999999999,0.159976,0.31994,0.23644809,0.237503,0,1,4,1,0.377926421404682
"small1976",1.86071999999971,0.516639,0.526667,0.5249236,0.526076,0,35,8,1,0.381048387096774
"vazarr",1.6720000000003,0.305823,0.442406,0.3945263,0.428021,0,22,6,1,0.456310679611651
"vazcer",2.18426999999989,0.31946,0.603536,0.50683064,0.481101,0,31,6,1,0.869494290375204
"vazllao",1.33522000000023,0.561322,0.561322,0.561322,0.561322,0,100,6,1,0.624815361890694
"vazmasc",1.42416000000012,0.630984,0.663443,0.65809209,0.656462,0,27,6,1,0.769230769230769
"vazmasnc",2.16183000000023,0.160782,0.401098,0.24720409,0.200752,0,25,6,1,0.499304589707928
"vazquec",2.02739999999994,0.492818,0.511311,0.50317408,0.511311,0,56,6,1,0.581081081081081
"vazquenc",0.828140000000203,0.450469,0.450469,0.450469,0.450469,0,100,4,1,0.963206307490144
