"","minNMI_Q_QB_LP","maxNMI_Q_QB_LP","minNMI_Q_QB_EX","maxNMI_Q_QB_EX","minNMI_Q_LP_EX","maxNMI_Q_LP_EX"
"1",0.906909123334491,0.906909123334491,1,1,0.906909123334491,0.906909123334491
"2",0.434200508935705,0.434200508935705,0.481733964248066,0.481733964248066,0.919099225739388,0.919099225739388
"3",1,1,1,1,1,1
"4",0.402735957016573,0.411327316011314,0.419927214523757,0.419927214523757,0.891474847281339,0.899094417047117
"5",0.594699802232871,0.594699802232871,0.690427889718447,0.690427889718447,0.842617066258992,0.842617066258992
"6",0.128925671341242,0.128925671341242,0.110206584235946,0.110206584235946,0.833200905470775,0.833200905470775
"7",0.094985503850403,0.094985503850403,0.0687434926949592,0.0687434926949592,0.808004592023491,0.808004592023491
"8",0.402793343655515,0.402793343655515,0.391069995896533,0.391069995896533,0.826802760844088,0.826802760844088
"9",0.588078859214872,0.588078859214872,0.492352972731762,0.492352972731762,0.791121447690201,0.791121447690201
"10",0.935655016929846,0.935655016929846,1,1,0.935655016929846,0.935655016929846
"11",0.852785078073642,0.852785078073642,1,1,0.852785078073642,0.852785078073642
"12",1,1,1,1,1,1
"13",1,1,1,1,1,1
"14",0.967670039744008,0.967670039744008,1,1,0.967670039744008,0.967670039744008
"15",1,1,1,1,1,1
"16",0.907837205721029,0.907837205721029,0.973092195919638,0.973092195919638,0.881223954168104,0.881223954168104
"17",0.947302716798715,0.947302716798715,1,1,0.947302716798716,0.947302716798716
"18",0.893322912597791,0.893322912597791,1,1,0.893322912597791,0.893322912597791
"19",0.849396914571573,0.849396914571573,1,1,0.849396914571573,0.849396914571573
"20",0.95703507921865,0.95703507921865,1,1,0.95703507921865,0.95703507921865
"21",0.970515240163644,0.970515240163644,1,1,0.970515240163644,0.970515240163644
"22",0.971743175709289,0.971743175709289,1,1,0.971743175709289,0.971743175709289
"23",1,1,1,1,1,1
